gene_symbol,tissue,ntpm
JAML,lung,40.7
JAML,lymphoid tissue,64.8
CD3G,lymphoid tissue,88.1
S100A1,brain,1266.4
S100A1,heart muscle,2882.1
S100A1,skeletal muscle,2868.7
S100A1,tongue,4577.6
CXCR5,intestine,12.6
CXCR5,lymphoid tissue,29.3
NLRX1,esophagus,39.0
IL6R,liver,58.5
IL6R,skeletal muscle,90.6
CHRNB2,brain,13.7
CHRNB2,pituitary gland,3.4
CHRNB2,retina,7.7
FDPS,liver,332.6
PAQR6,brain,911.8
CCR5,lymphoid tissue,14.5
NBEAL2,esophagus,99.0
PTH1R,kidney,583.6
MYL3,heart muscle,8764.4
MYL3,skeletal muscle,4813.6
MYL3,tongue,1935.7
PPP1R35,testis,50.6
GPATCH4,skeletal muscle,65.1
LRRC71,choroid plexus,10.8
LRRC71,fallopian tube,11.6
LRRC71,testis,23.6
FCRL3,lymphoid tissue,46.2
AZGP1,liver,2621.1
AZGP1,salivary gland,3617.4
FGFR4,liver,81.5
FGFR4,lung,62.9
CYP3A4,liver,3367.1
CYP3A7,liver,285.4
CYP11B1,adrenal gland,3344.5
HK3,bone marrow,122.3
HK3,lymphoid tissue,72.9
LY6K,esophagus,12.0
LY6K,testis,35.1
ZNF394,bone marrow,91.4
LY6E,liver,616.3
TONSL,bone marrow,8.0
PTGER1,kidney,26.2
RECQL4,bone marrow,23.6
RECQL4,testis,22.1
COL26A1,brain,21.8
COL26A1,kidney,7.4
FOXH1,brain,13.6
CCDC105,testis,14.3
SH2B2,skeletal muscle,33.1
SQSTM1,skeletal muscle,992.1
MGAT4B,liver,281.1
PGLYRP2,liver,241.7
LRWD1,testis,272.4
FBXL13,stomach 1,4.8
FBXL13,testis,3.7
SCGB3A1,cervix,253.4
SCGB3A1,lung,613.2
SCGB3A1,salivary gland,829.3
CELF5,brain,23.2
CCDC116,testis,28.5
FBXO27,skin 1,35.4
DMKN,skin 1,4625.2
BDH1,liver,302.0
NPHS1,kidney,39.8
NPHS1,pancreas,21.5
COX7A1,heart muscle,4516.8
COX7A1,skeletal muscle,6519.5
COX7A1,tongue,4622.3
ZNF382,brain,21.7
ZNF382,retina,16.1
LRRC56,pituitary gland,11.8
LRRC56,testis,21.3
PLXDC1,retina,44.9
IKZF3,intestine,11.1
IKZF3,lymphoid tissue,38.4
GRIN2C,brain,113.7
FDXR,adrenal gland,339.7
ACOX1,liver,113.3
CYGB,heart muscle,112.2
TMEM143,heart muscle,41.6
TMEM143,skeletal muscle,89.4
TMEM143,tongue,57.1
KLHL10,testis,55.3
KASH5,testis,52.2
HCRT,brain,400.8
DCD,skin 1,3313.5
ITGA5,blood vessel,733.7
SIGLEC11,lymphoid tissue,21.7
SIGLEC11,ovary,52.6
ZNF385A,retina,232.8
ZNF385A,skin 1,149.8
SIGLEC16,lymphoid tissue,6.1
SIGLEC16,ovary,21.7
MPP3,brain,28.2
MPP3,heart muscle,14.5
CD300LG,adipose tissue,123.7
CD300LG,breast,107.6
CD300LG,placenta,55.4
IZUMO2,testis,54.6
NAGS,intestine,14.9
NAGS,liver,49.0
ASB16,skeletal muscle,63.4
EMC10,skeletal muscle,173.6
SHANK1,brain,60.6
FAM171A2,brain,16.1
FAM171A2,pituitary gland,7.7
PLCD3,skeletal muscle,80.4
AQP5,salivary gland,586.3
AQP5,testis,211.1
RACGAP1,bone marrow,36.7
RACGAP1,lymphoid tissue,40.0
RACGAP1,testis,42.5
KRT84,lymphoid tissue,1.4
KRT84,skin 1,1.7
KRT82,skin 1,11.7
SYCE2,testis,25.3
SPC24,bone marrow,24.3
SPC24,lymphoid tissue,13.7
IP6K3,skeletal muscle,290.7
IP6K3,tongue,77.8
ALOX15,adipose tissue,35.2
ALOX15,fallopian tube,12.0
TREML1,bone marrow,7.7
TREML1,brain,2.7
TREML1,choroid plexus,2.2
TREML1,lung,1.9
TREML1,lymphoid tissue,6.9
ZNF653,brain,30.7
SCIMP,lymphoid tissue,46.3
ASGR2,liver,559.0
TNFSF13,choroid plexus,169.6
FGF11,adrenal gland,31.2
CCDC42,testis,90.2
SNRNP25,skeletal muscle,123.3
PRR35,brain,137.2
WDR90,testis,59.4
CCDC78,brain,11.1
CCDC78,fallopian tube,28.2
SSTR5,adrenal gland,2.1
SSTR5,blood vessel,2.6
SSTR5,heart muscle,2.4
SSTR5,kidney,3.9
SSTR5,pituitary gland,2.1
MEIOB,testis,26.5
HS3ST6,skin 1,75.2
TEDC2,bone marrow,3.8
TEDC2,testis,4.9
CCNF,lymphoid tissue,14.1
TBC1D24,salivary gland,15.5
BICDL2,esophagus,101.5
BICDL2,pancreas,123.7
PAQR4,brain,144.1
PAQR4,retina,59.2
ZG16B,salivary gland,80766.9
ADCY9,skeletal muscle,48.5
SHANK2,brain,9.8
CLPB,testis,120.0
CYB561A3,adrenal gland,292.2
PPP1R32,choroid plexus,50.5
PPP1R32,testis,90.6
ASRGL1,brain,123.8
ASRGL1,cervix,114.4
ASRGL1,testis,93.5
GNG3,brain,465.1
LBHD1,retina,53.4
SLC25A45,pancreas,32.3
ITIH3,liver,798.4
RPS6KA4,brain,54.3
LRP5,liver,122.3
FGF19,gallbladder,222.8
CYP4A22,liver,199.9
PDZK1IP1,kidney,1034.4
TAL1,bone marrow,28.0
ELAVL4,adrenal gland,10.5
ELAVL4,brain,38.1
ZYG11B,skeletal muscle,73.8
ZYG11B,tongue,57.8
SLC1A7,retina,37.4
ACOT11,intestine,32.2
FAM151A,intestine,68.2
FAM151A,kidney,163.0
LEXM,esophagus,11.9
LEXM,testis,4.5
LEXM,vagina,4.1
BSND,kidney,3.8
BSND,salivary gland,1.4
PRKAA2,heart muscle,38.2
PRKAA2,skeletal muscle,36.1
PRKAA2,tongue,34.0
KLHL21,skeletal muscle,160.3
SLC45A1,brain,10.3
AK4,kidney,169.3
AK4,liver,95.6
CTRC,pancreas,12512.5
RBP7,adipose tissue,390.0
RBP7,breast,412.3
KNCN,brain,1.0
FBLIM1,blood vessel,444.4
TMEM82,intestine,22.9
TMEM82,kidney,12.0
TMEM82,liver,55.1
SLC25A34,brain,15.3
SLC25A34,heart muscle,13.4
SLC25A34,intestine,13.0
SLC25A34,skeletal muscle,36.5
SLC25A34,tongue,43.5
AKR7A3,intestine,234.0
AKR7A3,liver,217.7
AKR7A3,pancreas,400.4
AKR7A3,stomach 1,305.6
DRAXIN,brain,1.0
PDPN,placenta,127.2
LRRC38,adrenal gland,19.7
LRRC38,skeletal muscle,44.7
LRRC38,tongue,13.7
DHRS3,liver,238.1
MATN1,retina,4.6
LAPTM5,bone marrow,1214.0
LAPTM5,lymphoid tissue,628.3
SDC3,brain,129.1
SYNC,skeletal muscle,100.1
SYNC,tongue,68.5
TSSK3,bone marrow,12.0
TSSK3,testis,42.4
UBXN10,choroid plexus,22.4
UBXN10,fallopian tube,46.8
CAMK2N1,brain,582.0
ALPL,adrenal gland,57.7
WNT4,skin 1,38.5
TTLL10,fallopian tube,10.1
TTLL10,testis,39.8
SCNN1D,brain,35.6
SCNN1D,testis,34.7
MEGF6,blood vessel,85.8
CCDC27,testis,16.2
IL23R,adrenal gland,2.2
IL23R,intestine,1.0
IL23R,testis,1.1
DIRAS3,brain,184.1
DIRAS3,ovary,49.8
DIRAS3,pituitary gland,65.9
C1orf87,fallopian tube,28.2
NEXN,heart muscle,378.9
NEXN,skeletal muscle,633.7
NEXN,tongue,512.6
ADGRL4,adipose tissue,64.3
LRRIQ3,testis,19.1
LHX8,lymphoid tissue,1.4
LHX8,salivary gland,1.9
B3GALT2,brain,15.3
B3GALT2,gallbladder,14.1
B3GALT2,heart muscle,19.7
NTNG1,brain,9.2
NTNG1,kidney,8.3
NTNG1,retina,9.5
HENMT1,testis,67.3
AKNAD1,testis,4.6
DNAI3,adrenal gland,20.6
DNAI3,choroid plexus,40.0
DNAI3,fallopian tube,13.6
DNAI3,testis,17.6
ZNF326,retina,48.7
HFM1,pituitary gland,8.7
HFM1,testis,12.9
BRINP3,brain,24.9
BRINP3,intestine,16.8
GFI1,bone marrow,75.8
GFI1,lymphoid tissue,44.1
KCNT2,ovary,3.5
AGL,skeletal muscle,241.2
AGL,tongue,198.0
VCAM1,lymphoid tissue,366.8
ZNF281,bone marrow,31.7
CADM3,brain,323.0
NLRP3,bone marrow,51.5
TRIM58,bone marrow,30.3
TRIM58,thyroid gland,14.2
KCNJ9,brain,69.4
IGSF8,brain,153.9
PEA15,brain,1945.8
VANGL2,skin 1,35.5
SLAMF6,lymphoid tissue,57.7
FCRLB,lymphoid tissue,1.6
FCGR3B,bone marrow,31.0
FCGR3B,lymphoid tissue,77.5
SLC9C2,testis,5.6
KLHDC9,testis,24.6
C1orf74,skin 1,6.4
LMX1A,choroid plexus,19.2
LRRC52,testis,15.6
FLVCR1,intestine,18.2
GARIN4,testis,74.6
RBM15,bone marrow,42.3
DENND2D,lymphoid tissue,87.8
AXDND1,testis,14.7
TDRD5,epididymis,6.2
TDRD5,testis,20.4
SPATA17,testis,9.5
C1orf115,intestine,113.9
NBPF20,brain,2.6
KIF26B,brain,3.4
KLHDC8A,ovary,277.5
PM20D1,pancreas,73.6
PM20D1,skin 1,32.0
PKDCC,skeletal muscle,85.0
OXER1,liver,56.4
HAAO,liver,276.6
IL20,adipose tissue,1.6
IL20,skin 1,1.2
IL24,lymphoid tissue,5.5
IL24,urinary bladder,13.5
FCMR,intestine,56.3
FCMR,lymphoid tissue,169.0
PIGR,intestine,2479.3
PIGR,salivary gland,1544.3
FCAMR,kidney,35.6
FCAMR,lymphoid tissue,24.5
REL,bone marrow,35.3
SANBR,retina,10.4
TRIM17,brain,45.2
TRIM17,testis,39.3
RFTN2,brain,24.7
DISC1,retina,20.2
CAPN13,intestine,27.5
CAPN13,stomach 1,26.9
LRRTM1,brain,21.8
LRRTM1,salivary gland,12.1
KCNF1,brain,45.3
KCNF1,choroid plexus,23.5
LRATD1,epididymis,30.4
LRATD1,intestine,38.4
KCNJ3,brain,39.4
NEUROD1,brain,166.9
NEUROD1,retina,131.5
FRZB,blood vessel,317.3
FRZB,choroid plexus,148.5
FRZB,lymphoid tissue,83.8
FRZB,retina,312.2
FRZB,tongue,108.6
CCDC138,testis,10.2
ZSWIM2,testis,8.7
FBXO41,brain,53.8
ACTG2,intestine,8437.2
ACTG2,seminal vesicle,5865.9
ACTG2,smooth muscle,8032.7
VSNL1,brain,725.4
CCDC74A,choroid plexus,62.7
CCDC74A,testis,70.6
ANKRD30BL,testis,7.4
COQ8A,skeletal muscle,1091.3
COQ8A,tongue,452.9
SLC16A14,salivary gland,17.5
TEKT4,testis,12.8
EN1,adipose tissue,3.4
EN1,brain,8.5
EN1,skeletal muscle,13.0
EN1,skin 1,10.0
SGCB,skeletal muscle,98.9
SPATA18,fallopian tube,64.3
SPATA18,testis,27.5
CFAP221,fallopian tube,27.8
CFAP221,testis,23.7
INHBB,adipose tissue,49.6
INHBB,breast,42.2
XIRP2,heart muscle,180.7
XIRP2,skeletal muscle,962.9
XIRP2,tongue,458.6
HPGDS,placenta,17.6
PDLIM5,heart muscle,589.2
PDLIM5,skeletal muscle,1089.9
PDLIM5,tongue,538.0
PDHA2,testis,56.2
STPG2,testis,1.8
NEURL3,kidney,15.2
NEURL3,pancreas,24.5
NEURL3,salivary gland,28.5
ANKRD23,skeletal muscle,1347.5
ANKRD23,tongue,418.8
CTSS,bone marrow,122.0
CTSS,lymphoid tissue,127.8
MSX1,cervix,49.4
MSX1,choroid plexus,140.3
BNIPL,cervix,50.4
BNIPL,esophagus,118.3
BNIPL,skin 1,170.9
BNIPL,vagina,64.5
TNFAIP8L2,lymphoid tissue,38.3
TMOD4,skeletal muscle,1148.5
TMOD4,tongue,498.5
BOLA3,tongue,162.0
S100A11,esophagus,4984.0
LCE3D,cervix,238.1
LCE3D,lymphoid tissue,79.4
LCE3D,skin 1,80.0
LCE3D,vagina,199.4
SMCP,testis,717.3
IVL,cervix,195.7
IVL,esophagus,294.3
IVL,salivary gland,84.6
IVL,skin 1,156.4
IVL,vagina,223.1
SPRR3,cervix,5402.3
SPRR3,esophagus,18307.4
SPRR3,vagina,6111.3
SPRR2D,cervix,746.0
SPRR2D,esophagus,1960.9
SPRR2D,vagina,486.9
BMP10,heart muscle,727.2
PGLYRP4,cervix,9.9
PGLYRP4,esophagus,7.3
PGLYRP4,skin 1,13.5
PGLYRP4,vagina,9.0
ARHGAP25,lymphoid tissue,70.6
S100A9,bone marrow,30401.1
S100A9,cervix,13503.3
S100A9,esophagus,30106.4
S100A9,vagina,13777.0
S100A12,bone marrow,3294.1
TGFA,brain,24.5
TGFA,esophagus,24.0
TDRD10,testis,52.5
FZD5,intestine,17.5
FZD5,liver,21.2
CRYGC,testis,1.6
CFAP141,fallopian tube,28.7
CFAP141,testis,24.4
NPPC,brain,7.6
ALPP,cervix,16.7
ALPP,placenta,32.6
GABRG1,brain,20.9
GABRB1,brain,12.9
GABRB1,heart muscle,3.4
NIPAL1,esophagus,20.5
NIPAL1,liver,15.1
NIPAL1,skin 1,24.3
ALPI,intestine,133.1
GPR155,choroid plexus,65.2
GPR155,stomach 1,49.6
DAPL1,epididymis,185.8
DAPL1,esophagus,233.8
DAPL1,skin 1,292.7
PBXIP1,choroid plexus,672.0
CLDN1,liver,289.7
CLDN1,skin 1,275.6
HIPK1,bone marrow,134.1
DCST2,retina,7.9
DCST2,skin 1,4.3
DCST1,retina,2.4
DCST1,skin 1,2.9
DCST1,testis,6.3
COL6A3,smooth muscle,391.7
INAVA,esophagus,41.7
INAVA,intestine,52.2
INAVA,skin 1,44.1
KBTBD8,bone marrow,13.1
KBTBD8,lymphoid tissue,19.4
TAFA4,adrenal gland,14.1
TAFA4,brain,6.9
TAFA4,retina,10.3
TAFA4,stomach 1,4.6
LMOD3,heart muscle,104.1
LMOD3,skeletal muscle,430.5
LMOD3,tongue,213.1
SLC22A15,bone marrow,29.0
CCKAR,gallbladder,27.3
CCKAR,stomach 1,15.6
IGFN1,skeletal muscle,174.5
ATP1A1,parathyroid gland,1394.0
SLC15A2,cervix,47.8
SLC15A2,epididymis,37.0
SLC15A2,prostate,37.3
PROK2,bone marrow,60.9
PROK2,lymphoid tissue,20.1
TEX55,testis,50.2
LMOD1,blood vessel,897.6
LMOD1,intestine,491.1
ELF3,esophagus,229.3
PDCL2,testis,61.8
TMEM169,brain,5.9
TMEM169,retina,3.2
IGFBP7,blood vessel,4198.0
TRIM46,brain,21.5
CXCR1,adipose tissue,12.3
CXCR1,lymphoid tissue,38.8
TSACC,testis,879.2
TMEM79,esophagus,136.8
TMEM79,skin 1,88.6
TMEM79,vagina,59.1
ADORA1,brain,42.6
ADORA1,testis,20.2
NEK10,testis,33.0
NEK10,tongue,13.7
CCDC141,heart muscle,69.9
FEV,intestine,4.0
FEV,pituitary gland,3.3
FEV,prostate,3.0
FEV,stomach 1,3.0
CRYBA2,pancreas,16.2
CRYBA2,pituitary gland,13.6
IHH,cervix,4.6
IHH,endometrium 1,13.1
IHH,intestine,17.7
IHH,stomach 1,14.1
EOMES,brain,15.1
EOMES,lymphoid tissue,14.0
RETNLB,intestine,216.7
HDAC11,brain,93.9
HDAC11,testis,80.4
FCRL4,lymphoid tissue,9.8
TRAT1,lymphoid tissue,74.3
FBLN2,heart muscle,287.6
GLB1L,testis,48.9
DPPA2,testis,3.1
NFASC,brain,32.2
FCRL1,bone marrow,7.6
FCRL1,intestine,7.9
FCRL1,lymphoid tissue,25.5
SGO2,lymphoid tissue,13.9
SGO2,testis,30.5
SERPINI1,brain,303.7
SERPINI1,retina,78.2
CLASP2,brain,105.5
CLASP2,retina,117.3
SUCLG1,kidney,516.6
NUAK2,cervix,37.5
NUAK2,esophagus,55.1
NUAK2,vagina,42.5
SPTA1,bone marrow,71.4
MNDA,bone marrow,276.9
MNDA,lymphoid tissue,101.5
PYHIN1,lymphoid tissue,21.6
AIM2,intestine,15.7
AIM2,lymphoid tissue,48.0
EFHB,fallopian tube,16.0
EFHB,testis,14.5
EIF5A2,testis,26.8
SLC2A2,liver,781.9
FABP1,intestine,5139.5
FABP1,liver,12176.2
ICA1L,brain,24.0
CTLA4,lymphoid tissue,35.1
ICOS,bone marrow,15.6
ICOS,lymphoid tissue,18.8
CD200R1,lymphoid tissue,7.5
CADPS,brain,77.2
CADPS,retina,170.8
NKX6-1,brain,2.6
NKX6-1,esophagus,8.4
NKX6-1,pancreas,6.1
NKX6-1,testis,2.1
NKX6-1,thyroid gland,3.0
PTPN13,retina,115.1
SYNPR,brain,262.1
ALB,liver,198523.8
C4orf36,testis,9.8
PSMD6,pancreas,269.4
ADAMTS9,adipose tissue,39.1
PPM1K,heart muscle,86.6
ERICH6,testis,27.8
CLRN1,adrenal gland,4.7
CLRN1,retina,11.8
GMPS,testis,93.8
PTX3,adipose tissue,230.2
PTX3,urinary bladder,177.9
DCLK3,brain,4.8
DCLK3,testis,2.6
SMIM14,liver,110.6
RPP14,skeletal muscle,38.1
RPP14,tongue,36.4
ABHD6,liver,60.7
DNASE1L3,liver,253.4
DNASE1L3,lymphoid tissue,247.9
CFAP20DC,esophagus,8.1
CFAP20DC,testis,20.9
IL17RE,intestine,19.6
IL17RE,skin 1,29.6
PRRT3,brain,13.9
PRRT3,choroid plexus,7.0
PRRT3,fallopian tube,7.1
PRRT3,parathyroid gland,14.3
PRRT3,pituitary gland,10.4
FANCD2OS,testis,58.0
PCOLCE2,adipose tissue,82.3
PCOLCE2,blood vessel,82.2
PCOLCE2,heart muscle,136.0
CXCL3,adipose tissue,19.5
CXCL3,cervix,19.4
CXCL5,lymphoid tissue,33.9
CXCL5,salivary gland,56.3
PPBP,bone marrow,78.8
PPBP,lymphoid tissue,23.3
PF4,bone marrow,28.0
PF4,lymphoid tissue,9.8
MTHFD2L,liver,3.5
CXCL1,cervix,95.8
CXCL1,lymphoid tissue,167.5
PLSCR2,testis,12.7
CCDC158,testis,32.0
CPA3,gallbladder,104.9
CPA3,lung,81.4
GYG1,skeletal muscle,535.2
GYG1,tongue,333.9
TM4SF18,lymphoid tissue,31.9
TCF23,cervix,14.3
TCF23,endometrium 1,45.1
TCF23,fallopian tube,30.0
TCF23,ovary,18.4
TCF23,smooth muscle,19.0
DNAJC5G,epididymis,44.2
DNAJC5G,testis,21.3
UCN,brain,9.2
PLB1,intestine,36.7
SPDYA,testis,30.8
KIF15,bone marrow,4.9
KIF15,lymphoid tissue,8.6
KIF15,testis,6.8
TGM4,prostate,767.7
CDCP1,esophagus,35.8
CLEC3B,adipose tissue,460.6
SLC6A20,choroid plexus,47.2
SLC6A20,intestine,23.8
FYCO1,skeletal muscle,246.2
CCR1,lymphoid tissue,40.1
RTP3,liver,111.0
LRRC2,heart muscle,42.9
LRRC2,skeletal muscle,154.3
LRRC2,tongue,88.2
FBXO40,heart muscle,84.7
FBXO40,skeletal muscle,152.0
FBXO40,tongue,93.8
GRIK3,brain,10.6
GRIK3,intestine,7.4
GRIK3,pituitary gland,8.6
ZC3H12A,bone marrow,128.7
DNALI1,choroid plexus,75.0
DNALI1,fallopian tube,51.2
KLF15,liver,88.7
CFAP100,choroid plexus,12.6
CFAP100,fallopian tube,25.5
CFAP100,testis,30.5
CAMK2N2,brain,89.1
CAMK2N2,pancreas,32.5
CAMK2N2,pituitary gland,36.1
LIPH,intestine,35.4
LIPH,stomach 1,45.5
HEYL,blood vessel,81.1
HEYL,pancreas,65.5
IFT122,testis,44.2
RHO,retina,3767.6
RPL39L,testis,210.4
TKT,bone marrow,630.1
SFMBT1,testis,42.6
ZDHHC19,testis,47.2
SLC51A,intestine,60.7
SLC51A,liver,66.7
MELTF,kidney,37.8
MELTF,salivary gland,67.1
S100P,bone marrow,1330.4
S100P,esophagus,584.2
S100P,placenta,445.8
S100P,stomach 1,1640.9
S100P,urinary bladder,1656.2
ABLIM2,skeletal muscle,188.4
ABLIM2,tongue,68.6
CLDN19,choroid plexus,12.2
CLDN19,kidney,42.4
CLDN19,placenta,9.2
SLC9B1,testis,37.8
SLC9B2,liver,36.2
BDH2,kidney,145.9
CDC25A,bone marrow,14.4
CDC25A,lymphoid tissue,8.2
CDC25A,testis,12.4
CAMP,bone marrow,2752.0
FBXW12,pancreas,5.7
CCDC51,choroid plexus,60.3
SPRY1,adipose tissue,225.1
BSN,brain,29.1
INTU,retina,12.2
RNF123,skeletal muscle,149.4
RNF123,tongue,104.4
HSPA4L,testis,101.7
CAMKV,brain,220.1
MST1R,intestine,18.2
MST1R,skin 1,30.2
MST1R,stomach 1,25.5
GRM2,brain,4.6
POC1A,lymphoid tissue,11.9
POC1A,testis,16.5
ETNPPL,brain,264.5
ETNPPL,liver,178.6
PITX2,placenta,39.5
PITX2,skeletal muscle,40.4
PITX2,tongue,26.2
PITX2,urinary bladder,26.9
PRSS12,choroid plexus,24.2
NDST3,brain,5.1
NDST3,lymphoid tissue,2.7
NDST3,retina,2.5
HMGB2,bone marrow,2214.7
HMGB2,lymphoid tissue,874.1
SCRG1,blood vessel,15.6
SCRG1,brain,37.5
HAND2,intestine,101.2
MAD2L1,bone marrow,5.5
MAD2L1,lymphoid tissue,5.3
SMIM43,brain,10.1
ADAD1,testis,111.2
MAP9,parathyroid gland,31.9
HPGD,stomach 1,222.0
HPGD,urinary bladder,352.4
ASB5,skeletal muscle,203.4
ASB5,tongue,62.7
C4orf45,testis,9.9
TMEM144,brain,218.6
GASK1B,adrenal gland,194.5
NPY1R,lymphoid tissue,112.7
NPY5R,adipose tissue,6.7
NPY5R,lymphoid tissue,8.3
FHIP1A,skeletal muscle,32.3
HHIP,brain,8.4
HHIP,lung,15.3
TMEM184C,parathyroid gland,123.8
SLC45A2,liver,1.2
SLC45A2,testis,1.0
EDIL3,blood vessel,82.2
EDIL3,brain,174.8
ZNF474,choroid plexus,7.6
ZNF474,fallopian tube,16.2
ZNF474,testis,8.6
RANBP3L,brain,26.8
RANBP3L,kidney,25.9
RNF180,parathyroid gland,23.8
ADGRV1,adrenal gland,494.7
F2RL2,gallbladder,6.4
CCDC112,testis,38.0
ANKRD33B,retina,47.3
CMBL,kidney,156.9
CMBL,liver,160.9
CMBL,skeletal muscle,153.5
F2RL1,intestine,55.6
F2RL1,stomach 1,41.6
PRDM9,epididymis,1.5
PRDM9,testis,4.1
SCGB3A2,lung,1193.6
SPINK1,pancreas,49964.7
HTR4,brain,2.1
HTR4,heart muscle,4.3
HTR4,intestine,8.5
ESM1,kidney,18.6
ESM1,thyroid gland,16.2
GRPEL2,esophagus,42.9
CDC20B,fallopian tube,1.9
CDC20B,kidney,1.0
CDC20B,testis,2.4
ARSK,parathyroid gland,18.0
SPZ1,testis,26.6
ENPP6,brain,27.6
ENPP6,kidney,28.6
ENPP6,ovary,15.2
CAGE1,testis,4.7
ERAP2,lymphoid tissue,46.5
CMYA5,skeletal muscle,573.2
CMYA5,tongue,747.0
EGFLAM,tongue,113.3
TMEM174,kidney,143.0
CARTPT,brain,599.0
EBF1,adipose tissue,35.4
FAM170A,testis,13.4
UTP15,bone marrow,34.8
KLKB1,liver,306.8
SLC6A18,kidney,7.7
FOXQ1,stomach 1,101.2
FOXQ1,urinary bladder,50.0
ACSL6,bone marrow,21.4
ACSL6,brain,29.5
ACSL6,retina,42.4
ACSL6,testis,19.3
CSF2,lung,1.9
SEPTIN8,brain,749.6
SHROOM1,liver,112.0
SHROOM1,prostate,67.3
SHROOM1,urinary bladder,62.7
GDF9,epididymis,3.4
GDF9,testis,6.6
UQCRQ,heart muscle,1218.1
LEAP2,liver,496.1
GJB7,fallopian tube,6.6
GJB7,pituitary gland,5.0
GJB7,placenta,2.5
GRIK2,brain,10.0
GRIK2,heart muscle,4.0
CGAS,bone marrow,13.2
FABP7,brain,232.2
FABP7,retina,162.4
FABP7,tongue,186.2
TLX3,brain,24.0
TXLNB,heart muscle,76.7
TXLNB,skeletal muscle,280.9
TXLNB,tongue,176.6
CALHM4,placenta,21.9
TBXT,parathyroid gland,2.4
TBXT,pituitary gland,1.2
CREBRF,bone marrow,64.3
SFXN1,liver,93.1
SAMD3,lymphoid tissue,9.7
TMEM200A,endometrium 1,36.8
IL22RA2,breast,3.4
IL22RA2,lymphoid tissue,3.0
DACT2,brain,19.2
DACT2,placenta,12.1
SPATA48,testis,4.1
STXBP5,parathyroid gland,35.8
H2AC1,testis,5.4
IL31RA,blood vessel,2.2
IL31RA,bone marrow,1.5
IL31RA,lymphoid tissue,1.9
IL31RA,testis,1.5
ANKRD55,brain,3.8
ANKRD55,lymphoid tissue,3.4
ANKRD55,testis,9.2
RAET1E,cervix,14.5
RAET1E,esophagus,37.6
RAET1E,vagina,18.1
PI16,cervix,131.9
PI16,heart muscle,140.6
PI16,vagina,143.1
TBX20,heart muscle,37.4
MATCAP2,testis,20.8
GALNT10,ovary,51.6
HCN1,retina,16.3
MYOZ3,skeletal muscle,219.3
MYOZ3,tongue,185.2
NEUROD6,brain,39.1
GPR85,brain,19.1
GPR85,retina,11.2
GPR85,skeletal muscle,29.7
PTTG1,bone marrow,150.9
PTTG1,lymphoid tissue,135.4
PTTG1,testis,163.9
RELL2,brain,35.0
RELL2,parathyroid gland,15.2
RELL2,pituitary gland,15.6
KCNK5,intestine,33.3
KCNK5,kidney,34.0
KIF6,brain,8.7
KIF6,fallopian tube,3.6
KIF6,testis,4.9
SLC29A4,adipose tissue,40.7
SLC29A4,brain,32.2
SLC29A4,choroid plexus,35.3
TEX47,testis,27.0
STEAP1,prostate,78.6
CDCA7L,bone marrow,48.8
SP8,prostate,6.0
MIOS,skeletal muscle,81.5
ELAPOR2,lung,20.6
USP49,retina,8.3
SYTL3,choroid plexus,47.0
IQUB,testis,31.3
HEY1,brain,48.2
FABP5,cervix,2768.1
FABP5,esophagus,4866.2
FABP5,vagina,3490.8
SHH,adrenal gland,8.2
SHH,liver,12.5
SHH,stomach 1,9.9
SHH,urinary bladder,15.1
TAGAP,bone marrow,138.6
TAGAP,lymphoid tissue,44.6
COL1A2,cervix,1633.0
COL1A2,ovary,1332.9
COL1A2,smooth muscle,1268.5
FNDC1,gallbladder,13.3
FNDC1,intestine,13.2
FNDC1,thyroid gland,19.0
CHMP4C,intestine,39.4
SLC13A4,choroid plexus,1460.7
PGAM2,heart muscle,1112.4
PGAM2,skeletal muscle,4078.1
PGAM2,tongue,1636.7
SLC35G3,testis,2.4
CTSB,thyroid gland,991.2
SOX17,adipose tissue,46.8
ADCY1,brain,33.9
ADCY1,liver,17.8
ADCY1,retina,49.2
C8orf48,testis,6.5
SUN3,testis,38.8
C7orf57,choroid plexus,7.4
C7orf57,fallopian tube,13.1
HNF4G,intestine,108.0
SLC30A8,pancreas,49.4
TNFRSF11B,blood vessel,192.4
TNFRSF11B,thyroid gland,95.4
SBSPON,blood vessel,21.4
PHKG1,skeletal muscle,272.6
PHKG1,tongue,165.8
EN2,brain,34.8
KCNV1,brain,12.7
CSMD3,brain,2.6
DEFA5,intestine,9025.0
DEFA4,bone marrow,2547.5
DEFA6,intestine,4530.5
DEFB1,kidney,2702.4
DEFB1,pancreas,1076.1
DEFB1,salivary gland,2947.6
TMEM74,brain,2.7
TMEM74,retina,2.3
GPR146,adipose tissue,43.1
GPER1,stomach 1,40.9
UNCX,brain,22.0
TMEM184A,esophagus,88.1
NOS3,lymphoid tissue,59.4
SPAG11B,epididymis,1188.1
CA3,skeletal muscle,4941.5
CDK5,brain,75.3
SLC4A2,choroid plexus,264.8
SLC7A13,kidney,39.2
GBX1,skeletal muscle,10.6
GBX1,testis,7.6
ALDH7A1,liver,151.7
OSR2,cervix,149.8
OSR2,endometrium 1,161.9
OSR2,fallopian tube,151.8
BAALC,brain,274.0
CTHRC1,gallbladder,82.1
CTHRC1,placenta,84.5
CTHRC1,urinary bladder,78.9
DCSTAMP,epididymis,1.8
