gene_symbol,tissue,ntpm
KCNQ1,stomach 1,96.3
LY75,lymphoid tissue,73.1
OPN3,placenta,17.6
PTPRN,brain,157.2
PTPRN,pituitary gland,178.0
KIF1B,retina,118.5
KIF1B,skeletal muscle,184.8
KIF1B,tongue,141.5
FOXC1,blood vessel,80.4
FOXC1,salivary gland,145.6
SYNE2,skeletal muscle,185.6
PLEKHH1,brain,42.2
PLEKHH1,thyroid gland,35.4
ATP9A,brain,87.5
SPO11,testis,7.9
CBLN4,adrenal gland,16.8
CBLN4,brain,15.6
CBLN4,epididymis,8.3
CHRDL2,endometrium 1,118.1
CHRDL2,gallbladder,99.4
CHRDL2,lymphoid tissue,109.3
CHRDL2,smooth muscle,114.0
RELT,bone marrow,146.0
KCNH2,bone marrow,39.0
KCNH2,pituitary gland,41.5
CYFIP2,brain,82.2
CYFIP2,kidney,130.8
MCOLN3,adrenal gland,41.3
MCOLN3,epididymis,13.3
MCOLN3,parathyroid gland,33.2
CCDC85A,adipose tissue,11.8
CCDC85A,brain,11.9
ITIH4,liver,1743.0
ITIH1,liver,1407.7
ZNF280C,testis,8.8
NPFFR2,lymphoid tissue,6.7
NPFFR2,seminal vesicle,3.0
PHF21B,cervix,8.4
PHF21B,pituitary gland,18.0
IL17RB,brain,17.2
IL17RB,cervix,16.9
IL17RB,kidney,55.8
IL17RB,liver,31.1
GYG2,adipose tissue,146.8
GYG2,breast,40.4
SERPINB3,cervix,584.0
SERPINB3,esophagus,760.5
SERPINB3,vagina,669.9
SOAT1,adrenal gland,155.9
PKP2,heart muscle,185.4
MSH4,epididymis,1.7
MSH4,testis,4.0
F7,liver,128.6
PRDM1,esophagus,51.9
MTA3,lymphoid tissue,65.6
USP13,heart muscle,39.8
USP13,skeletal muscle,99.1
USP13,tongue,101.6
LAMC2,urinary bladder,36.5
RASGRF1,brain,51.5
CAMK2B,brain,104.5
CAMK2B,heart muscle,62.4
CAMK2B,skeletal muscle,112.2
CAMK2B,tongue,57.4
POLR3E,skeletal muscle,55.6
ATP2B4,smooth muscle,164.7
DGKG,brain,25.7
TBXAS1,lymphoid tissue,54.1
ALDH18A1,salivary gland,113.1
MXD1,bone marrow,163.8
MXD1,esophagus,125.8
DNAJC25,liver,30.0
SLC2A3,bone marrow,404.4
PSD,brain,475.5
PSD,intestine,249.1
YBX3,skeletal muscle,4495.4
YBX3,tongue,1528.5
STYK1,intestine,16.0
STYK1,stomach 1,16.5
GNA15,bone marrow,71.2
GNA15,esophagus,99.4
CREB3L3,intestine,242.2
CREB3L3,liver,381.3
RIMBP2,brain,18.7
RIMBP2,parathyroid gland,21.3
RIMBP2,pituitary gland,27.5
COL11A1,placenta,18.9
COL11A1,retina,8.9
MPC1,heart muscle,692.4
MPC1,tongue,521.3
ACAA1,kidney,198.3
ACAA1,liver,616.3
BCAT1,pancreas,54.8
LZTS1,brain,24.4
LZTS1,parathyroid gland,51.0
PRDM6,blood vessel,14.8
PRDM6,urinary bladder,8.8
SPAG4,pancreas,85.0
SPAG4,testis,30.4
CDH3,choroid plexus,51.8
CDH3,ovary,32.3
ARSF,brain,4.8
ARSF,kidney,7.1
ARSF,skin 1,5.3
DGAT2,adipose tissue,447.0
DGAT2,breast,135.2
DGAT2,liver,309.8
DGAT2,skin 1,147.4
CS,skeletal muscle,515.2
CS,tongue,561.0
LTK,intestine,12.4
LTK,lung,14.3
LTK,salivary gland,11.1
SEZ6,brain,109.8
SLC6A16,testis,88.0
CA11,brain,517.6
ISOC2,liver,262.8
AHRR,testis,22.8
GSC2,retina,1.0
GSC2,testis,3.5
ZNF275,adrenal gland,67.9
GPC1,skin 1,213.4
CASP8,bone marrow,44.1
LIMCH1,skeletal muscle,191.0
LIMCH1,tongue,258.9
TM7SF3,kidney,239.2
DLX3,skin 1,51.9
SPA17,fallopian tube,23.1
SPA17,testis,36.7
TSPAN32,bone marrow,18.8
TSPAN32,heart muscle,10.7
TSPAN32,lymphoid tissue,5.2
CCN5,adipose tissue,422.9
CCN5,blood vessel,904.2
CCN5,cervix,365.6
DMRT3,choroid plexus,9.3
DMRT3,parathyroid gland,25.3
DMRT3,testis,9.1
ST3GAL6,heart muscle,21.4
ST3GAL6,liver,39.3
ATP2C2,intestine,35.1
ATP2C2,salivary gland,19.1
ATP2C2,skin 1,24.5
CDON,ovary,13.5
HIPK2,brain,146.1
LPAR2,lymphoid tissue,74.0
CTSA,adrenal gland,312.4
SLC12A2,salivary gland,71.2
EYA2,cervix,52.3
ABCA7,lymphoid tissue,41.5
ABCA7,pituitary gland,48.5
SNCAIP,cervix,16.1
SNCAIP,endometrium 1,18.2
SNCAIP,ovary,24.6
DDX20,testis,38.3
BTBD1,skeletal muscle,304.4
BTBD1,tongue,215.5
FAR2,epididymis,18.1
FAR2,intestine,21.4
BCAS1,brain,201.8
BCAS1,choroid plexus,83.2
BCAS1,stomach 1,150.9
POU1F1,pituitary gland,55.4
CHI3L2,lymphoid tissue,186.8
CHI3L2,salivary gland,133.9
PMS1,testis,45.4
CALCRL,adipose tissue,66.3
CALCRL,lung,72.4
SLC9A3R2,heart muscle,571.9
IPO5,testis,196.2
OAT,intestine,736.4
NTN1,blood vessel,35.5
NTN1,heart muscle,56.1
GLP2R,gallbladder,11.4
GLP2R,intestine,13.4
GLP2R,urinary bladder,12.1
MCM10,bone marrow,8.7
MCM10,lymphoid tissue,7.5
DGKA,lymphoid tissue,184.5
ROPN1,testis,151.3
ANKRD44,lymphoid tissue,34.2
PDIA5,liver,75.0
NDUFB4,skeletal muscle,887.5
MYLK,seminal vesicle,1572.0
MYLK,smooth muscle,1933.2
PACC1,brain,70.2
SNAP91,brain,105.4
SNAP91,retina,85.1
COL17A1,skin 1,548.0
GSTO2,testis,19.4
SEC61A2,brain,31.5
PRKCQ,lymphoid tissue,30.8
PRKCQ,skeletal muscle,115.2
PRKCQ,tongue,104.8
TLE2,brain,285.6
SLC9A7,brain,28.7
YBX1,skeletal muscle,1910.6
CTNNA2,brain,88.2
CTNNA2,epididymis,63.3
CTNNA2,retina,74.5
ZMYND12,fallopian tube,16.1
ZMYND12,testis,26.9
SLC9A3,gallbladder,42.6
SLC9A3,intestine,88.4
SLC9A3,kidney,64.4
SLC9A3,stomach 1,47.2
NGEF,adrenal gland,54.1
NGEF,brain,139.7
ASPM,bone marrow,9.5
ASPM,lymphoid tissue,15.8
CD84,lymphoid tissue,22.6
ELOVL1,brain,357.2
SPI1,bone marrow,316.4
SPI1,lung,98.6
SPI1,lymphoid tissue,167.9
MPPED2,cervix,23.0
MPPED2,thyroid gland,23.0
CLDN18,lung,237.8
CLDN18,stomach 1,684.2
FGFR2,brain,549.0
ACSM2B,kidney,386.3
ACSM2B,liver,509.8
ZFAT,placenta,29.3
STAG3,testis,49.8
FECH,bone marrow,36.8
MYO9A,retina,57.2
DDX3Y,bone marrow,90.4
PFKP,retina,250.0
