go_id,aspect
GO:0070735,F
GO:0018094,P
GO:0005881,C
GO:0097731,C
GO:1990756,F
GO:0006515,P
GO:0043161,P
GO:0140958,P
GO:2000627,P
GO:0031463,C
GO:0050890,P
GO:0005635,C
GO:0006351,P
GO:0000145,C
GO:0043014,F
GO:0006887,P
GO:0031274,P
GO:0032456,P
GO:0034314,P
GO:0042147,P
GO:0005770,C
GO:0071203,C
GO:0030414,F
GO:0052548,P
GO:0003713,F
GO:0019902,F
GO:0051702,P
GO:0061436,P
GO:0001533,C
GO:0003690,F
GO:0000712,P
GO:0031398,P
GO:0036297,P
GO:0000785,C
GO:0000939,C
GO:0043240,C
GO:0071821,C
GO:0060037,P
GO:0002253,P
GO:0060170,C
GO:0034464,C
GO:0043292,C
GO:0030395,F
GO:0070234,P
GO:0016278,F
GO:0016279,F
GO:0006099,P
GO:0018023,P
GO:0018026,P
GO:0018027,P
GO:0007098,P
GO:0072686,C
GO:0140034,F
GO:0042177,P
GO:0006914,P
GO:0008333,P
GO:1990172,P
GO:0010945,F
GO:0009062,P
GO:0005782,C
GO:0005267,F
GO:0022414,P
GO:0071805,P
GO:0036126,C
GO:0030020,F
GO:0042564,C
GO:0002191,P
GO:0062073,C
GO:0004962,F
GO:0038085,F
GO:0038084,P
GO:0086100,P
GO:0018812,F
GO:0102158,F
GO:0030034,P
GO:0032420,C
GO:0016247,F
GO:0035725,P
GO:0098659,P
GO:0098908,P
GO:0001518,C
GO:0007601,P
GO:0034329,P
GO:0045198,P
GO:0007517,P
GO:0140684,F
GO:0140760,F
GO:0016239,P
GO:0032007,P
GO:0051494,P
GO:0034987,F
GO:2000515,P
GO:0035579,C
GO:0070821,C
GO:0005242,F
GO:0008308,F
GO:0043123,P
GO:0051452,P
GO:0030660,C
GO:0032580,C
GO:0160193,F
GO:0090324,P
GO:0043484,P
GO:2000632,P
GO:0048255,P
GO:1902416,P
GO:0000725,P
GO:0006301,P
GO:0030544,F
GO:0002605,P
GO:2001139,P
GO:0006622,P
GO:0007032,P
GO:0030027,C
GO:0030175,C
GO:0055037,C
GO:0070160,C
GO:0010717,P
GO:0010494,C
GO:0014728,P
GO:0090076,P
GO:0004303,F
GO:0047045,F
GO:0047655,F
GO:0047886,F
GO:0052650,F
GO:0006703,P
GO:0001819,P
GO:0043320,P
GO:0030174,P
GO:0044458,P
GO:1902017,P
GO:0097250,P
GO:0045876,P
GO:0016925,P
GO:0030578,P
GO:2001114,P
GO:0008284,P
GO:0048524,P
GO:0031647,P
GO:0043065,P
GO:0042127,P
GO:0140042,P
GO:0005125,F
GO:0007260,P
GO:1990062,C
GO:1902412,P
GO:0090543,C
GO:0034242,P
GO:0004531,F
GO:0043277,P
GO:0005764,C
GO:0008610,P
GO:0008609,F
GO:0005778,C
GO:0005876,C
GO:0003774,F
GO:0000226,P
GO:0007019,P
GO:0120103,C
GO:0004674,F
GO:0004712,F
GO:0005246,F
GO:0015459,F
GO:0017080,F
GO:0017081,F
GO:0008217,P
GO:0035556,P
GO:0070294,P
GO:1901796,P
GO:0016607,C
GO:0004137,F
GO:0004797,F
GO:0019206,F
GO:0006139,P
GO:0043097,P
GO:0042813,F
GO:0046982,F
GO:0007399,P
GO:0043524,P
GO:2000179,P
GO:0000398,P
GO:0006405,P
GO:0006406,P
GO:0045824,P
GO:0046832,P
GO:0098641,F
GO:0006979,P
GO:0005856,C
GO:0015629,C
GO:0030018,C
GO:0000062,F
GO:0036042,F
GO:0052816,F
GO:0015937,P
GO:0036114,P
GO:0036116,P
GO:0051792,P
GO:1900535,P
GO:0004930,F
GO:0016494,F
GO:0007186,P
GO:0030595,P
GO:0048247,P
GO:0070098,P
GO:0097021,P
GO:0005102,F
GO:0031267,F
GO:0006612,P
GO:2000810,P
GO:0009925,C
GO:0016328,C
GO:0016461,C
GO:0031941,C
GO:0009620,P
GO:0061760,P
GO:0072659,P
GO:0140374,P
GO:0141111,P
GO:0140522,F
GO:0005484,F
GO:0019905,F
GO:0002553,P
GO:0006906,P
GO:0043316,P
GO:0099638,P
GO:0001772,C
GO:0030670,C
GO:0042581,C
GO:0042582,C
GO:0031201,C
GO:0007005,P
GO:0019966,F
GO:0035591,F
GO:0030833,P
GO:0030854,P
