gene_symbol,total_submissions,total_alleles,pathogenic_likely_pathogenic_alleles,uncertain_alleles,conflict_alleles,yield_bin
LOC125177446,2,2,,1.0,0.0,none
LOC125177447,2,2,,1.0,0.0,none
LOC125177448,1,1,,,,none
LOC125177449,1,1,,,,none
LOC125177450,1,1,,,,none
LOC125177451,1,1,,,,none
LOC125177452,1,1,,,,none
LOC125177453,7,7,,3.0,0.0,none
LOC125177454,35,35,,6.0,0.0,none
LOC125177455,20,20,,4.0,0.0,none
LOC125177459,11,11,,10.0,0.0,none
LOC125177460,1,1,,1.0,0.0,none
LOC125177461,1,1,,1.0,0.0,none
LOC125177462,62,57,,2.0,0.0,none
LOC125177463,62,57,,2.0,0.0,none
LOC125177464,2,2,,,,none
LOC125177465,2,2,,,,none
LOC125177466,2,2,,,,none
LOC125177467,5,5,,1.0,0.0,none
LOC125177469,3,3,,,,none
LOC125177470,3,3,,,,none
LOC125177471,3,3,,,,none
LOC125177472,3,3,,,,none
LOC125177473,17,15,,10.0,0.0,none
LOC125177474,7,7,,4.0,0.0,none
LOC125177475,3,3,,,,none
LOC125177476,3,3,,,,none
LOC125177477,3,3,,,,none
LOC125177478,3,3,,,,none
LOC125177479,9,9,,6.0,0.0,none
LOC125177480,3,3,,,,none
LOC125177481,37,26,3.0,7.0,0.0,1-5
LOC125177482,5,4,,,,none
LOC125177484,8,8,,4.0,0.0,none
LOC125177485,10,10,,5.0,0.0,none
LOC125177486,6,6,,1.0,0.0,none
LOC125177487,6,6,,1.0,0.0,none
LOC125177488,5,5,,,,none
LOC125177489,91,43,9.0,12.0,0.0,6-20
LOC125177490,5,5,,1.0,0.0,none
LOC125177491,4,4,,,,none
LOC125177492,3,3,,1.0,0.0,none
LOC125177493,2,2,,,,none
LOC125177494,2,2,,,,none
LOC125177495,2,2,,,,none
LOC125177496,3,3,,1.0,0.0,none
LOC125177497,3,3,,,,none
LOC125177498,3,3,,,,none
LOC125177500,5,5,,,,none
LOC125177501,4,4,,,,none
LOC125177502,4,4,,,,none
LOC125177503,4,4,,,,none
LOC125177504,10,10,,5.0,0.0,none
LOC125177505,4,4,,,,none
LOC125177507,4,4,,,,none
LOC125177508,4,4,,,,none
LOC125177509,4,4,,,,none
LOC125177510,4,4,,1.0,0.0,none
LOC125177512,3,3,,,,none
LOC125177513,3,3,,,,none
LOC125177514,3,3,,,,none
LOC125177515,3,3,,,,none
LOC125177516,4,4,,,,none
LOC125177517,4,4,,,,none
LOC125177518,7,7,,,,none
LOC125177519,5,5,,,,none
LOC125177520,5,5,,,,none
LOC125177521,5,5,,,,none
LOC125177522,5,5,,,,none
LOC125177523,65,53,10.0,23.0,0.0,6-20
LOC125177524,4,4,,,,none
LOC125177525,6,6,,1.0,0.0,none
LOC125177526,7,6,,,,none
LOC125177527,5,5,,,,none
LOC125312414,9,9,,1.0,0.0,none
LOC125312415,3,3,,,,none
LOC125312416,2,2,,,,none
LOC125312417,48,40,3.0,13.0,0.0,1-5
LOC125312418,3,3,,1.0,0.0,none
LOC125312419,5,5,,3.0,0.0,none
LOC125312420,2,2,,,,none
LOC125316770,3,3,,,,none
LOC125316771,3,3,,,,none
LOC125316772,3,3,,,,none
LOC125316773,3,3,,,,none
LOC125316774,6,6,,1.0,0.0,none
LOC125316775,6,6,,1.0,0.0,none
LOC125316776,4,4,,1.0,0.0,none
LOC125316777,3,3,,,,none
LOC125316778,3,3,,,,none
LOC125316779,3,3,,,,none
LOC125316780,3,3,,,,none
LOC125316781,3,3,,,,none
LOC125316782,3,3,,,,none
LOC125316783,7,7,,,,none
LOC125316784,4,4,,,,none
LOC125316785,3,3,,,,none
LOC125316786,4,4,,,,none
LOC125316787,3,3,,,,none
LOC125316788,3,3,,,,none
LOC125316789,4,4,,,,none
LOC125316790,29,21,,11.0,0.0,none
LOC125316791,3,3,,,,none
LOC125316792,3,3,,,,none
LOC125316793,12,12,,9.0,0.0,none
LOC125316794,2,2,,,,none
LOC125316795,2,2,,,,none
LOC125316796,2,2,,,,none
LOC125316797,3,3,,,,none
LOC125316798,2,2,,,,none
LOC125316799,2,2,,,,none
LOC125316800,2,2,,,,none
LOC125316801,2,2,,,,none
LOC125316802,2,2,,,,none
LOC125316804,2,2,,,,none
LOC125316805,2,2,,,,none
LOC125316806,5,5,,,,none
LOC125316807,6,6,,1.0,0.0,none
LOC125316808,7,7,,1.0,0.0,none
LOC125316809,6,6,,,,none
LOC125316810,5,5,,,,none
LOC125316811,6,6,,1.0,0.0,none
LOC125316812,6,6,,1.0,0.0,none
LOC125316813,6,6,,1.0,0.0,none
LOC125316814,7,7,,,,none
LOC125316815,6,6,,,,none
LOC125316816,7,7,,,,none
LOC125316817,8,8,,,,none
LOC125316818,10,10,,2.0,0.0,none
LOC125316819,11,11,,3.0,0.0,none
LOC125316821,14,14,,6.0,0.0,none
LOC125316822,15,15,,7.0,0.0,none
LOC125316823,17,17,,9.0,0.0,none
LOC125338459,72,67,,9.0,0.0,none
LOC125338460,74,69,,12.0,0.0,none
LOC125338461,73,68,,10.0,0.0,none
LOC125338462,74,69,,8.0,0.0,none
LOC125338463,65,60,,5.0,0.0,none
LOC125338464,65,60,,3.0,0.0,none
LOC125338465,65,60,,3.0,0.0,none
LOC125338466,64,59,,3.0,0.0,none
LOC125338467,63,58,,3.0,0.0,none
LOC125338468,62,57,,3.0,0.0,none
LOC125338469,61,56,,2.0,0.0,none
LOC125338470,61,56,,2.0,0.0,none
LOC125338471,61,56,,2.0,0.0,none
LOC125368541,53,48,,3.0,0.0,none
LOC125368542,48,43,,1.0,0.0,none
LOC125368543,49,44,,1.0,0.0,none
LOC125368544,48,43,,1.0,0.0,none
LOC125368546,44,40,,1.0,0.0,none
LOC125368547,56,52,,12.0,0.0,none
LOC125368548,56,52,,15.0,0.0,none
LOC125368550,44,40,,2.0,0.0,none
LOC125368551,41,37,,,,none
LOC125368552,39,35,,,,none
LOC125368553,40,36,,,,none
LOC125368554,22,20,,1.0,0.0,none
LOC125368555,23,21,,2.0,0.0,none
LOC125368556,22,20,,1.0,0.0,none
LOC125368557,21,19,,1.0,0.0,none
LOC125368558,20,18,,,,none
LOC125368559,22,20,,,,none
LOC125368560,26,24,,1.0,0.0,none
LOC125371406,26,24,,1.0,0.0,none
LOC125371407,27,25,,1.0,0.0,none
LOC125371408,27,25,,1.0,0.0,none
LOC125371409,32,30,,2.0,0.0,none
LOC125371410,25,23,,,,none
LOC125371411,26,24,,,,none
LOC125371412,26,24,,1.0,0.0,none
LOC125371413,25,23,,,,none
LOC125371414,22,20,,,,none
LOC125371416,22,20,,,,none
LOC125371417,23,21,,1.0,0.0,none
LOC125371418,22,20,,,,none
LOC125371419,22,20,,,,none
LOC125371420,22,20,,,,none
LOC125371421,24,22,,,,none
LOC125371424,31,29,,,,none
LOC125371425,31,29,,,,none
LOC125371426,32,30,,1.0,0.0,none
LOC125371427,32,30,,,,none
LOC125371428,33,31,,1.0,0.0,none
LOC125371429,33,31,,1.0,0.0,none
LOC125371430,34,32,,2.0,0.0,none
LOC125371431,33,31,,1.0,0.0,none
LOC125371432,33,31,,1.0,0.0,none
LOC125371433,33,31,,,,none
LOC125371434,33,31,,,,none
LOC125371435,38,36,,,,none
LOC125371436,38,36,,,,none
LOC125371437,43,41,,2.0,0.0,none
LOC125371438,63,61,,3.0,0.0,none
LOC125371439,98,89,,19.0,0.0,none
LOC125371440,73,71,,,,none
LOC125371441,79,77,,5.0,0.0,none
LOC125371442,94,92,,19.0,0.0,none
LOC125371443,76,74,,1.0,0.0,none
LOC125371444,8,8,,,,none
LOC125371446,13,13,,2.0,0.0,none
LOC125371447,25,25,,6.0,0.0,none
LOC125371448,10,10,,1.0,0.0,none
LOC125371449,12,12,,1.0,0.0,none
LOC125371450,10,10,,3.0,0.0,none
LOC125371451,11,11,,3.0,0.0,none
LOC125371452,11,11,,2.0,0.0,none
LOC125371453,13,13,,2.0,0.0,none
LOC125371455,86,69,,34.0,0.0,none
LOC125371457,11,11,,3.0,0.0,none
LOC125371459,5,5,,1.0,0.0,none
LOC125371460,5,5,,1.0,0.0,none
LOC125371461,3,3,,,,none
LOC125371462,3,3,,,,none
LOC125371463,4,4,,1.0,0.0,none
LOC125371464,4,4,,1.0,0.0,none
LOC125371465,3,3,,1.0,0.0,none
LOC125371466,2,2,,1.0,0.0,none
LOC125371467,8,8,,6.0,0.0,none
LOC125371468,2,2,,,,none
LOC125371469,1,1,,,,none
LOC125371470,3,3,,,,none
LOC125371471,2,2,,,,none
LOC125371472,2,2,,,,none
LOC125371473,3,3,,,,none
LOC125371474,3,3,,,,none
LOC125371475,3,3,,,,none
LOC125371476,3,3,,,,none
LOC125371477,6,6,,,,none
LOC125371478,5,5,,1.0,0.0,none
LOC125371479,10,10,,2.0,0.0,none
LOC125371480,10,10,,1.0,0.0,none
LOC125371481,10,10,,1.0,0.0,none
LOC125371482,7,7,,1.0,0.0,none
LOC125371483,7,7,,1.0,0.0,none
LOC125371484,6,6,,,,none
LOC125371486,5,5,,,,none
LOC125371487,5,5,,,,none
LOC125371488,7,7,,3.0,0.0,none
LOC125371489,3,3,,,,none
LOC125371491,5,5,,1.0,0.0,none
LOC125371492,5,5,,,,none
LOC125371493,4,4,,,,none
LOC125371494,4,4,,,,none
LOC125371495,30,23,2.0,6.0,0.0,1-5
LOC125371496,4,4,,,,none
LOC125371497,6,6,,2.0,0.0,none
LOC125371498,14,14,,4.0,0.0,none
LOC125371499,12,12,,6.0,0.0,none
LOC125371500,12,12,,6.0,0.0,none
LOC125371501,3,3,,1.0,0.0,none
LOC125371502,4,4,,2.0,0.0,none
LOC125371503,4,4,,2.0,0.0,none
LOC125371504,4,4,,1.0,0.0,none
LOC125371505,7,7,,1.0,0.0,none
LOC125371506,7,7,,1.0,0.0,none
LOC125371507,8,8,,3.0,0.0,none
LOC125371509,3,3,,,,none
LOC125371510,4,4,,,,none
LOC125371511,2,2,,,,none
LOC125371513,2,2,,,,none
LOC125371514,2,2,,,,none
LOC125371515,2,2,,,,none
LOC125371516,2,2,,,,none
LOC125371517,3,3,,1.0,0.0,none
LOC125371518,2,2,,,,none
LOC125371519,2,2,,,,none
LOC125371520,2,2,,,,none
LOC125371521,2,2,,,,none
LOC125371522,2,2,,,,none
LOC125371523,8,8,,,,none
LOC125371524,10,10,,,,none
LOC125371525,1,1,,,,none
LOC125371526,1,1,,,,none
LOC125371527,2,2,,,,none
LOC125371528,2,2,,,,none
LOC125371529,2,2,,,,none
LOC125371530,29,29,,25.0,0.0,none
LOC125371531,5,5,,1.0,0.0,none
LOC125371532,5,5,,1.0,0.0,none
LOC125371533,14,9,,1.0,0.0,none
LOC125371534,5,5,,,,none
LOC125371535,5,5,,2.0,0.0,none
LOC125371536,6,6,,2.0,0.0,none
LOC125371537,6,6,,1.0,0.0,none
LOC125371538,6,6,,1.0,0.0,none
LOC125371539,6,6,,1.0,0.0,none
LOC125371540,6,6,,3.0,0.0,none
LOC125371542,4,4,,1.0,0.0,none
LOC125371543,3,3,,,,none
LOC125371544,3,3,,,,none
LOC125384522,6,6,,4.0,0.0,none
LOC125384524,2,2,,,,none
LOC125384525,8,8,,2.0,0.0,none
LOC125384526,5,5,,,,none
LOC125384527,5,5,,,,none
LOC125384528,6,6,,,,none
LOC125384529,7,7,,1.0,0.0,none
LOC125384530,8,8,,1.0,0.0,none
LOC125384531,10,10,,1.0,0.0,none
LOC125384532,9,9,,1.0,0.0,none
LOC125384533,9,9,,,,none
LOC125384534,11,11,,,,none
LOC125384535,10,10,,,,none
LOC125384536,10,10,,1.0,0.0,none
LOC125384537,12,12,,2.0,0.0,none
LOC125384538,17,17,,5.0,0.0,none
LOC125384539,12,12,,2.0,0.0,none
LOC125384540,36,36,,26.0,0.0,none
LOC125384541,12,12,,2.0,0.0,none
LOC125384542,12,12,,2.0,0.0,none
LOC125384543,12,12,,2.0,0.0,none
LOC125384544,13,13,,2.0,0.0,none
LOC125384545,39,38,,25.0,0.0,none
LOC125384546,16,16,,4.0,0.0,none
LOC125384548,11,11,,1.0,0.0,none
LOC125384549,11,11,,1.0,0.0,none
LOC125384550,14,14,,3.0,0.0,none
LOC125384551,11,11,,1.0,0.0,none
LOC125384552,11,11,,1.0,0.0,none
LOC125384553,10,10,,,,none
LOC125384555,30,30,,5.0,0.0,none
LOC125384556,30,30,,5.0,0.0,none
LOC125384557,30,30,,5.0,0.0,none
LOC125384558,29,29,,5.0,0.0,none
LOC125384559,22,22,,2.0,0.0,none
LOC125384560,19,19,,3.0,0.0,none
LOC125384561,14,14,,1.0,0.0,none
LOC125384562,14,14,,1.0,0.0,none
LOC125384563,15,15,,3.0,0.0,none
LOC125384564,15,15,,3.0,0.0,none
LOC125384565,22,22,,8.0,0.0,none
LOC125384566,16,16,,1.0,0.0,none
LOC125384567,13,13,,1.0,0.0,none
LOC125384568,15,15,,2.0,0.0,none
LOC125384569,19,19,,5.0,0.0,none
LOC125384570,14,14,,,,none
LOC125384571,15,15,,1.0,0.0,none
LOC125384572,13,13,,1.0,0.0,none
LOC125384573,13,13,,1.0,0.0,none
LOC125384574,20,20,,5.0,0.0,none
LOC125384575,19,19,,5.0,0.0,none
LOC125384576,12,12,,1.0,0.0,none
LOC125384577,13,13,,2.0,0.0,none
LOC125384578,15,15,,1.0,0.0,none
LOC125384579,15,15,,1.0,0.0,none
LOC125384580,17,17,,1.0,0.0,none
LOC125384581,13,13,,1.0,0.0,none
LOC125384582,13,13,,1.0,0.0,none
LOC125384583,16,16,,4.0,0.0,none
LOC125384584,16,16,,5.0,0.0,none
LOC125384585,15,14,,4.0,0.0,none
LOC125384586,14,14,,5.0,0.0,none
LOC125384587,10,10,,,,none
LOC125384588,10,10,,,,none
LOC125384589,10,10,,,,none
LOC125384590,7,7,,,,none
LOC125384592,7,7,,,,none
LOC125384593,7,7,,,,none
LOC125384594,7,7,,,,none
LOC125387241,7,7,,,,none
LOC125387242,7,7,,,,none
LOC125387243,7,7,,,,none
LOC125387244,7,7,,,,none
LOC125387245,8,8,,1.0,0.0,none
LOC125387246,7,7,,1.0,0.0,none
LOC125387247,11,11,,1.0,0.0,none
LOC125387248,2,2,,,,none
LOC125387249,7,7,,2.0,0.0,none
LOC125387253,7,7,,2.0,0.0,none
LOC125387254,7,7,,2.0,0.0,none
LOC125387257,5,5,,1.0,0.0,none
LOC125387258,5,5,,1.0,0.0,none
LOC125387260,4,4,,,,none
LOC125387261,4,4,,,,none
LOC125387262,9,9,,4.0,0.0,none
LOC125387263,7,7,,,,none
LOC125387264,6,6,,,,none
LOC125387265,5,5,,,,none
LOC125387267,4,4,,1.0,0.0,none
LOC125387268,4,4,,1.0,0.0,none
LOC125387269,4,4,,1.0,0.0,none
LOC125387271,3,3,,1.0,0.0,none
LOC125387272,4,4,,1.0,0.0,none
LOC125387273,4,4,,1.0,0.0,none
LOC125387274,3,3,,1.0,0.0,none
LOC125387275,3,3,,1.0,0.0,none
LOC125387276,3,3,,1.0,0.0,none
LOC125387277,3,3,,,,none
LOC125387278,3,3,,,,none
LOC125387279,3,3,,,,none
LOC125387280,4,4,,,,none
LOC125387281,3,3,,,,none
LOC125387282,4,4,,,,none
LOC125387283,2,2,,,,none
LOC125387284,2,2,,,,none
LOC125387285,2,2,,,,none
LOC125387286,3,3,,,,none
LOC125387287,3,3,,,,none
LOC125387288,3,3,,,,none
LOC125387289,3,3,,,,none
LOC125387290,4,4,,,,none
LOC125387291,5,5,,,,none
LOC125387293,5,5,,,,none
LOC125387294,5,5,,,,none
LOC125387295,5,5,,,,none
LOC125387296,5,5,,,,none
LOC125387297,5,5,,,,none
LOC125387298,6,6,,,,none
LOC125387299,5,5,,,,none
LOC125387300,5,5,,,,none
LOC125387301,5,5,,,,none
LOC125387302,5,5,,,,none
LOC125387303,4,4,,,,none
LOC125387304,4,4,,,,none
LOC125387305,5,5,,,,none
LOC125387306,5,5,,,,none
LOC125387307,5,5,,,,none
LOC125387308,7,7,,,,none
LOC125387309,10,9,,1.0,0.0,none
LOC125387310,7,7,,,,none
LOC125387311,8,8,,1.0,0.0,none
LOC125387312,8,8,,,,none
LOC125387313,10,10,,2.0,0.0,none
LOC125387316,9,9,,1.0,0.0,none
LOC125387317,17,17,,2.0,0.0,none
LOC125387318,22,22,,3.0,0.0,none
LOC125387319,28,28,1.0,4.0,0.0,1-5
LOC125387320,21,21,,3.0,0.0,none
LOC125387321,37,32,,1.0,0.0,none
LOC125387322,37,32,,1.0,0.0,none
LOC125387324,35,30,,1.0,0.0,none
LOC125387325,44,39,,3.0,0.0,none
LOC125387326,48,43,,2.0,0.0,none
LOC125418048,49,44,,2.0,0.0,none
LOC125418049,49,44,,2.0,0.0,none
LOC125418050,48,43,,4.0,0.0,none
LOC125418051,47,42,,4.0,0.0,none
LOC125418052,47,42,,4.0,0.0,none
LOC125418053,48,43,,4.0,0.0,none
LOC125418054,47,42,,3.0,0.0,none
LOC125418055,41,36,,3.0,0.0,none
LOC125418056,41,36,,3.0,0.0,none
LOC125418057,40,35,,3.0,0.0,none
LOC125418058,39,34,,2.0,0.0,none
LOC125418059,38,33,,2.0,0.0,none
LOC125418060,61,50,1.0,12.0,0.0,1-5
LOC125418061,40,34,,3.0,0.0,none
LOC125418062,37,32,,1.0,0.0,none
LOC125418063,38,33,,1.0,0.0,none
LOC125418065,39,34,,2.0,0.0,none
LOC125418066,39,34,,2.0,0.0,none
LOC125418067,37,32,,1.0,0.0,none
LOC125418068,38,33,,1.0,0.0,none
LOC125418070,41,36,,1.0,0.0,none
LOC125418071,45,40,,4.0,0.0,none
LOC125418072,43,38,,1.0,0.0,none
LOC125418073,76,69,,20.0,0.0,none
LOC125418075,44,39,,2.0,0.0,none
LOC125418076,46,41,,2.0,0.0,none
LOC125418077,47,42,,1.0,0.0,none
LOC125418078,48,43,,2.0,0.0,none
LOC125418079,48,43,,2.0,0.0,none
LOC125418080,49,44,,1.0,0.0,none
LOC125418081,50,45,,1.0,0.0,none
LOC125418082,48,43,,1.0,0.0,none
LOC125418083,49,44,,3.0,0.0,none
LOC125418084,49,44,,3.0,0.0,none
LOC125418085,48,43,,3.0,0.0,none
LOC125418086,50,44,,2.0,0.0,none
LOC125418087,54,48,,4.0,0.0,none
LOC125418088,52,46,,2.0,0.0,none
LOC125424380,27,24,,1.0,0.0,none
LOC125424381,24,21,,,,none
LOC125424382,24,21,,,,none
LOC125424383,24,21,,,,none
LOC125424384,24,21,,,,none
LOC125424386,214,195,,9.0,0.0,none
LOC125424387,212,193,,7.0,0.0,none
LOC125424388,215,194,,10.0,0.0,none
LOC125424389,38,35,,5.0,0.0,none
LOC125424390,48,44,,3.0,0.0,none
LOC125424391,40,36,,3.0,0.0,none
LOC125424392,27,26,,2.0,0.0,none
LOC125424393,50,46,,29.0,0.0,none
LOC125424394,50,46,,29.0,0.0,none
LOC125424395,49,45,,28.0,0.0,none
LOC125424396,45,41,,28.0,0.0,none
LOC125424397,45,41,,28.0,0.0,none
LOC125424398,45,41,,28.0,0.0,none
LOC125424399,8,7,,2.0,0.0,none
LOC125424400,9,8,,1.0,0.0,none
LOC125424401,9,8,,1.0,0.0,none
LOC125424402,23,21,,,,none
LOC125424403,9,8,,1.0,0.0,none
LOC125424404,11,10,,2.0,0.0,none
LOC125424407,11,10,,2.0,0.0,none
LOC125424408,11,10,,2.0,0.0,none
LOC125424409,12,11,,2.0,0.0,none
LOC125424410,11,10,,1.0,0.0,none
LOC125424413,12,11,,1.0,0.0,none
LOC125446207,13,12,1.0,1.0,0.0,1-5
LOC125446208,12,11,,1.0,0.0,none
LOC125446209,12,11,,1.0,0.0,none
LOC125446212,11,10,,,,none
LOC125446213,10,9,,1.0,0.0,none
LOC125446214,10,9,,1.0,0.0,none
LOC125446215,9,8,,1.0,0.0,none
LOC125446216,11,10,,3.0,0.0,none
LOC125446217,8,7,,,,none
LOC125446218,7,6,,,,none
LOC125446219,10,9,,1.0,0.0,none
LOC125446220,7,6,,1.0,0.0,none
LOC125446222,9,8,,2.0,0.0,none
LOC125446223,6,5,,,,none
LOC125446224,6,5,,,,none
LOC125446225,5,4,,,,none
LOC125446226,7,6,,1.0,0.0,none
LOC125446227,7,6,,2.0,0.0,none
LOC125446228,7,6,,2.0,0.0,none
LOC125446229,8,7,,2.0,0.0,none
LOC125446230,9,8,,2.0,0.0,none
LOC125446231,8,7,,1.0,0.0,none
LOC125446232,9,8,,,,none
LOC125446233,8,7,,,,none
LOC125446234,5,4,,,,none
LOC125446235,5,4,,,,none
LOC125446236,5,4,,,,none
LOC125446237,7,6,,1.0,0.0,none
LOC125446238,7,6,,1.0,0.0,none
LOC125446239,7,6,,1.0,0.0,none
LOC125446243,9,8,,3.0,0.0,none
LOC125446244,7,6,,1.0,0.0,none
LOC125446246,8,7,,1.0,0.0,none
LOC125446247,8,7,,1.0,0.0,none
LOC125446248,12,11,,1.0,0.0,none
LOC125446250,15,14,,1.0,0.0,none
LOC125446253,15,14,,1.0,0.0,none
LOC125446254,18,17,,,,none
LOC125446255,33,32,,3.0,0.0,none
LOC125446257,46,45,,6.0,0.0,none
LOC125446258,46,45,,6.0,0.0,none
LOC125446259,67,65,,3.0,0.0,none
LOC125446260,66,64,,2.0,0.0,none
LOC125446261,172,128,15.0,19.0,0.0,6-20
LOC125446262,74,72,,4.0,0.0,none
LOC125446265,116,112,,2.0,0.0,none
LOC125446266,210,202,2.0,27.0,0.0,1-5
LOC125446268,100,96,2.0,2.0,0.0,1-5
LOC125446269,98,94,,3.0,0.0,none
LOC125446270,97,93,,5.0,0.0,none
LOC125446271,98,94,,7.0,0.0,none
LOC125446272,95,91,,5.0,0.0,none
LOC125446273,88,84,,1.0,0.0,none
LOC125446274,89,85,,3.0,0.0,none
LOC125446275,86,82,,1.0,0.0,none
LOC125446276,85,81,,3.0,0.0,none
LOC125446277,94,90,,5.0,0.0,none
LOC125446278,77,73,,,,none
LOC125446279,79,75,,1.0,0.0,none
LOC125446280,80,76,,2.0,0.0,none
LOC125446283,80,76,,2.0,0.0,none
LOC125467738,80,76,,1.0,0.0,none
LOC125467739,80,76,,1.0,0.0,none
LOC125467740,82,78,,1.0,0.0,none
LOC125467741,82,78,,1.0,0.0,none
LOC125467745,82,78,,3.0,0.0,none
LOC125467746,79,75,,1.0,0.0,none
LOC125467747,84,80,,,,none
LOC125467748,86,82,,1.0,0.0,none
LOC125467749,84,80,,,,none
LOC125467753,74,70,,1.0,0.0,none
LOC125467754,73,69,,,,none
LOC125467755,73,69,,1.0,0.0,none
LOC125467756,74,70,,2.0,0.0,none
LOC125467759,63,59,,,,none
LOC125467760,64,60,,1.0,0.0,none
LOC125467761,67,63,,,,none
LOC125467762,80,76,,10.0,0.0,none
LOC125467763,69,65,,3.0,0.0,none
LOC125467764,67,63,,,,none
LOC125467765,70,66,,1.0,0.0,none
LOC125467766,72,68,,2.0,0.0,none
LOC125467767,82,78,,2.0,0.0,none
LOC125467768,332,245,33.0,77.0,0.0,21-100
LOC125467769,85,81,,2.0,0.0,none
LOC125467770,84,80,,,,none
LOC125467771,84,80,,,,none
LOC125467773,84,80,,1.0,0.0,none
LOC125467775,88,84,,2.0,0.0,none
LOC125467776,88,84,,2.0,0.0,none
LOC125467777,88,84,,2.0,0.0,none
LOC125467778,87,83,,1.0,0.0,none
LOC125467779,86,82,,,,none
LOC125467781,90,86,,2.0,0.0,none
LOC125467782,90,86,,2.0,0.0,none
LOC125467783,90,86,,1.0,0.0,none
LOC125467784,88,84,,,,none
LOC125467785,89,85,,,,none
LOC125467786,90,86,,,,none
LOC125467787,91,87,,1.0,0.0,none
LOC125467789,98,94,,2.0,0.0,none
LOC125467790,115,111,,6.0,0.0,none
LOC125467791,103,99,,,,none
LOC125467792,107,103,,,,none
LOC125467793,135,130,,1.0,0.0,none
LOC125467794,111,106,,,,none
LOC125467795,126,121,,7.0,0.0,none
LOC126057105,48,41,,3.0,0.0,none
LOC126057106,29,29,,2.0,0.0,none
LOC126057107,26,26,,,,none
LOC126057108,30,30,,1.0,0.0,none
LOC126057109,32,32,,1.0,0.0,none
LOC126057110,32,32,,1.0,0.0,none
LOC126057111,32,32,,1.0,0.0,none
LOC126057112,32,32,,1.0,0.0,none
LOC126057113,32,32,,1.0,0.0,none
LOC126057114,32,32,,1.0,0.0,none
LOC126057115,3,3,,1.0,0.0,none
LOC126088080,7,7,,1.0,0.0,none
LOC126088081,33,33,,2.0,0.0,none
LOC126088082,48,47,,5.0,0.0,none
LOC126088083,41,39,,1.0,0.0,none
LOC126088084,45,39,,1.0,0.0,none
LOC126088085,72,71,,15.0,0.0,none
LOC126088086,3,3,,1.0,0.0,none
LOC126088087,3,3,,1.0,0.0,none
LOC126088088,3,3,,1.0,0.0,none
LOC126088089,6,6,,,,none
LOC126088090,6,6,,,,none
LOC126088091,54,53,,4.0,0.0,none
LOC126088092,53,52,,4.0,0.0,none
LOC126088093,91,88,,48.0,0.0,none
LOC126088094,36,31,,1.0,0.0,none
LOC126088095,49,44,,1.0,0.0,none
LOC126264115,3,3,,,,none
LOC126264116,56,55,,6.0,0.0,none
LOC126264117,18,18,,,,none
LOC126653312,48,43,,2.0,0.0,none
LOC126653313,48,43,,2.0,0.0,none
LOC126653314,48,43,,2.0,0.0,none
LOC126653315,49,44,,2.0,0.0,none
LOC126653316,49,44,,2.0,0.0,none
LOC126653317,51,46,,3.0,0.0,none
LOC126653318,50,45,,4.0,0.0,none
LOC126653319,50,45,,4.0,0.0,none
LOC126653320,50,45,,4.0,0.0,none
LOC126653321,49,44,,5.0,0.0,none
LOC126653322,52,47,,6.0,0.0,none
LOC126653323,52,47,,6.0,0.0,none
LOC126653324,47,42,,4.0,0.0,none
LOC126653325,47,42,,3.0,0.0,none
LOC126653326,44,39,,1.0,0.0,none
LOC126653327,44,39,,1.0,0.0,none
LOC126653328,44,39,,1.0,0.0,none
LOC126653329,44,39,,1.0,0.0,none
LOC126653330,92,75,,16.0,0.0,none
LOC126653331,53,47,,3.0,0.0,none
LOC126653332,45,40,,1.0,0.0,none
LOC126653333,45,40,,1.0,0.0,none
LOC126653334,63,58,,15.0,0.0,none
LOC126653335,41,36,,3.0,0.0,none
LOC126653336,41,36,,3.0,0.0,none
LOC126653337,40,35,,2.0,0.0,none
LOC126653338,58,52,,16.0,0.0,none
LOC126653339,50,44,,10.0,0.0,none
LOC126653340,39,34,1.0,2.0,0.0,1-5
LOC126653341,39,34,,2.0,0.0,none
LOC126653342,37,32,,1.0,0.0,none
LOC126653343,40,34,,1.0,0.0,none
LOC126653344,37,32,,1.0,0.0,none
LOC126653345,43,37,,4.0,0.0,none
LOC126653346,36,31,,1.0,0.0,none
LOC126653347,37,32,,1.0,0.0,none
LOC126653348,37,32,,1.0,0.0,none
LOC126653349,48,37,,4.0,0.0,none
LOC126653350,43,38,,5.0,0.0,none
LOC126653351,48,40,1.0,5.0,0.0,1-5
LOC126653352,38,33,,1.0,0.0,none
LOC126653353,38,33,,1.0,0.0,none
LOC126653354,41,36,,3.0,0.0,none
LOC126653355,40,35,,2.0,0.0,none
LOC126653356,37,32,,1.0,0.0,none
LOC126653357,37,32,,1.0,0.0,none
LOC126653358,38,33,,1.0,0.0,none
LOC126653359,38,33,,1.0,0.0,none
LOC126653360,39,34,,1.0,0.0,none
LOC126653361,62,46,,6.0,0.0,none
LOC126653362,43,38,,1.0,0.0,none
LOC126653363,45,40,,2.0,0.0,none
LOC126653364,45,40,,2.0,0.0,none
LOC126653365,45,40,,2.0,0.0,none
LOC126653366,43,38,,2.0,0.0,none
LOC126653367,43,38,,2.0,0.0,none
LOC126653368,43,38,,2.0,0.0,none
LOC126653369,43,38,,2.0,0.0,none
LOC126653370,57,49,,10.0,0.0,none
LOC126653371,44,39,,2.0,0.0,none
