gene_symbol,total_submissions,total_alleles,pathogenic_likely_pathogenic_alleles,uncertain_alleles,conflict_alleles,yield_bin
ACTMAP,38,20,,7.0,0.0,none
ACTN1,872,625,24.0,268.0,22.0,21-100
ACTN1-DT,4,4,,,,none
ACTN2,3838,1936,26.0,875.0,211.0,21-100
ACTN3,258,250,,202.0,0.0,none
ACTN4,1059,613,18.0,260.0,26.0,6-20
ACTR10,94,86,,49.0,0.0,none
ACTR1A,78,59,,19.0,0.0,none
ACTR1B,143,94,,56.0,0.0,none
ACTR2,58,48,2.0,19.0,0.0,1-5
ACTR3,66,57,1.0,18.0,0.0,1-5
ACTR3-AS1,2,2,,1.0,0.0,none
ACTR3B,175,131,2.0,38.0,0.0,1-5
ACTR3C,127,119,5.0,39.0,0.0,1-5
ACTR5,166,102,,80.0,0.0,none
ACTR6,62,59,,37.0,0.0,none
ACTR8,177,143,,106.0,0.0,none
ACTRT1,272,254,,66.0,1.0,none
ACTRT2,217,212,,91.0,0.0,none
ACTRT3,93,93,1.0,68.0,0.0,1-5
ACVR1,621,462,12.0,211.0,7.0,6-20
ACVR1B,63,62,4.0,41.0,0.0,1-5
ACVR1C,123,101,1.0,41.0,0.0,1-5
ACVR2A,120,92,6.0,34.0,0.0,6-20
ACVR2B,558,405,1.0,227.0,4.0,1-5
ACVR2B-AS1,27,22,,9.0,0.0,none
ACVRL1,2369,1274,576.0,279.0,78.0,100+
ACY1,334,213,15.0,106.0,12.0,6-20
ACY3,110,101,,71.0,0.0,none
ACYP1,162,29,,9.0,1.0,none
ACYP2,149,138,,98.0,0.0,none
ADA,1532,790,184.0,186.0,12.0,100+
ADA2,1197,704,96.0,270.0,28.0,21-100
ADAD1,90,90,,65.0,0.0,none
ADAD2,279,259,1.0,186.0,0.0,1-5
ADAD2-AS1,231,211,1.0,144.0,0.0,1-5
ADAM10,178,150,6.0,76.0,1.0,6-20
ADAM11,133,130,1.0,98.0,0.0,1-5
ADAM12,243,221,1.0,117.0,0.0,1-5
ADAM15,348,224,,134.0,0.0,none
ADAM15-EFNA4,393,266,,163.0,0.0,none
ADAM17,859,674,30.0,255.0,4.0,21-100
ADAM18,167,166,1.0,93.0,1.0,1-5
ADAM19,190,181,,123.0,0.0,none
ADAM2,179,177,1.0,108.0,0.0,1-5
ADAM20,138,138,,116.0,0.0,none
ADAM21,123,123,,99.0,0.0,none
ADAM22,258,214,9.0,123.0,1.0,6-20
ADAM23,167,146,1.0,90.0,0.0,1-5
ADAM28,309,246,1.0,115.0,0.0,1-5
ADAM29,205,205,1.0,110.0,0.0,1-5
ADAM30,148,147,,129.0,0.0,none
ADAM32,224,204,2.0,106.0,0.0,1-5
ADAM33,220,197,,130.0,1.0,none
ADAM7,229,229,1.0,133.0,0.0,1-5
ADAM7-AS1,511,427,,302.0,0.0,none
ADAM7-AS2,119,119,,73.0,0.0,none
ADAM8,350,327,,163.0,2.0,none
ADAM9,845,667,34.0,269.0,22.0,21-100
ADAMDEC1,201,180,,70.0,0.0,none
ADAMTS1,257,240,1.0,132.0,0.0,1-5
ADAMTS10,1500,1111,41.0,395.0,44.0,21-100
ADAMTS12,369,350,,232.0,0.0,none
ADAMTS13,2084,1257,132.0,499.0,92.0,100+
ADAMTS14,356,300,,245.0,1.0,none
ADAMTS15,279,271,5.0,158.0,0.0,1-5
ADAMTS16,353,344,3.0,188.0,0.0,1-5
ADAMTS16-AS1,63,63,,13.0,0.0,none
ADAMTS16-DT,50,50,,,,none
ADAMTS17,2245,1637,93.0,628.0,68.0,21-100
ADAMTS18,1691,1386,69.0,687.0,18.0,21-100
ADAMTS19,265,247,13.0,186.0,0.0,6-20
ADAMTS19-AS1,8,8,,2.0,0.0,none
ADAMTS2,3598,2150,139.0,724.0,102.0,100+
ADAMTS20,322,312,,247.0,0.0,none
ADAMTS3,312,265,4.0,180.0,3.0,1-5
ADAMTS4,177,172,,136.0,0.0,none
ADAMTS5,248,236,,149.0,0.0,none
ADAMTS6,155,148,2.0,113.0,0.0,1-5
ADAMTS7,452,424,,321.0,2.0,none
ADAMTS8,260,258,1.0,160.0,0.0,1-5
ADAMTS9,786,577,1.0,330.0,6.0,1-5
ADAMTS9-AS1,41,33,1.0,13.0,0.0,1-5
ADAMTS9-AS2,56,44,2.0,27.0,0.0,1-5
ADAMTSL1,540,502,10.0,338.0,1.0,6-20
ADAMTSL2,618,399,22.0,209.0,30.0,21-100
ADAMTSL3,498,421,1.0,255.0,1.0,1-5
ADAMTSL4,2260,1477,171.0,533.0,54.0,100+
ADAMTSL4-AS1,8,6,2.0,,,1-5
ADAMTSL4-AS2,1368,941,115.0,326.0,0.0,100+
ADAMTSL5,150,147,,106.0,0.0,none
ADAP1,168,142,,67.0,0.0,none
ADAP2,135,128,,67.0,0.0,none
ADAR,2368,1759,113.0,908.0,43.0,100+
ADARB1,297,235,9.0,98.0,1.0,6-20
ADARB2,233,222,5.0,162.0,0.0,1-5
ADARB2-AS1,20,18,,2.0,0.0,none
ADAT1,153,148,,99.0,0.0,none
ADAT2,54,53,1.0,31.0,0.0,1-5
ADAT3,296,216,6.0,151.0,6.0,6-20
ADCK1,134,125,,83.0,0.0,none
ADCK2,213,170,,98.0,0.0,none
ADCK5,212,192,,106.0,0.0,none
ADCY1,541,427,1.0,160.0,2.0,1-5
ADCY10,1036,723,36.0,330.0,12.0,21-100
ADCY2,238,223,3.0,82.0,0.0,1-5
ADCY3,772,629,10.0,293.0,2.0,6-20
ADCY4,256,198,,143.0,0.0,none
ADCY5,1473,994,57.0,423.0,55.0,21-100
ADCY6,301,236,3.0,142.0,3.0,1-5
ADCY6-DT,3,3,,,,none
ADCY7,232,200,,132.0,1.0,none
ADCY8,242,234,,157.0,0.0,none
ADCY9,306,271,6.0,176.0,0.0,6-20
ADCYAP1,197,192,,56.0,0.0,none
ADCYAP1R1,95,90,,52.0,0.0,none
ADD1,282,272,4.0,97.0,0.0,1-5
ADD2,119,113,,85.0,0.0,none
ADD3,368,294,2.0,167.0,3.0,1-5
ADD3-AS1,9,9,,1.0,0.0,none
ADGB,295,290,2.0,254.0,0.0,1-5
ADGB-DT,7,7,,,,none
ADGRA1,241,239,1.0,127.0,0.0,1-5
ADGRA1-AS1,44,44,,6.0,0.0,none
ADGRA2,369,339,1.0,244.0,0.0,1-5
ADGRA3,1477,1181,1.0,745.0,16.0,1-5
ADGRB1,323,303,1.0,213.0,0.0,1-5
ADGRB2,557,494,1.0,287.0,3.0,1-5
ADGRB3,202,196,6.0,159.0,0.0,6-20
ADGRB3-DT,2,2,,,,none
ADGRD1,155,152,,92.0,0.0,none
ADGRD1-AS1,18,17,,6.0,0.0,none
ADGRD2,31,31,,1.0,0.0,none
ADGRE1,206,173,,122.0,0.0,none
ADGRE2,897,701,5.0,372.0,28.0,1-5
ADGRE3,134,132,,94.0,0.0,none
ADGRE5,284,215,,155.0,0.0,none
ADGRF1,197,174,,128.0,0.0,none
ADGRF2,79,79,,69.0,0.0,none
ADGRF3,270,227,2.0,173.0,1.0,1-5
ADGRF4,111,111,,97.0,0.0,none
ADGRF5,229,211,,168.0,0.0,none
ADGRF5-AS1,5,5,,2.0,0.0,none
ADGRG1,1763,1162,133.0,292.0,62.0,100+
ADGRG2,654,541,11.0,113.0,3.0,6-20
ADGRG3,145,142,,97.0,0.0,none
ADGRG4,670,644,1.0,342.0,4.0,1-5
ADGRG5,150,143,,94.0,0.0,none
ADGRG6,349,285,10.0,161.0,2.0,6-20
ADGRG7,170,158,,121.0,2.0,none
ADGRL1,434,399,37.0,259.0,5.0,21-100
ADGRL1-AS1,396,363,32.0,242.0,0.0,21-100
ADGRL2,246,223,,151.0,0.0,none
ADGRL3,225,206,,157.0,0.0,none
ADGRL3-AS1,8,8,,,,none
ADGRL4,166,148,,109.0,0.0,none
ADGRV1,11302,7245,724.0,2045.0,771.0,100+
ADH1A,77,73,,47.0,0.0,none
ADH1B,107,100,1.0,63.0,0.0,1-5
ADH1C,107,91,,46.0,1.0,none
ADH4,87,83,,64.0,0.0,none
ADH5,208,76,4.0,38.0,0.0,1-5
ADH6,89,80,,54.0,0.0,none
ADH7,107,103,,72.0,0.0,none
ADHFE1,118,113,,76.0,0.0,none
ADI1,112,78,,42.0,0.0,none
ADIG,21,21,,12.0,0.0,none
ADIPINT,13,13,,,,none
ADIPOQ,92,87,3.0,26.0,0.0,1-5
ADIPOQ-AS1,56,52,2.0,22.0,0.0,1-5
ADIPOR1,265,234,1.0,107.0,0.0,1-5
ADIPOR2,113,105,1.0,23.0,0.0,1-5
ADIRF,63,61,,14.0,0.0,none
ADIRF-AS1,63,61,,14.0,0.0,none
ADISSP,58,56,,17.0,0.0,none
ADK,272,207,17.0,77.0,5.0,6-20
ADK-AS1,35,26,5.0,7.0,0.0,1-5
ADM,49,46,,24.0,0.0,none
ADM-DT,4,4,,1.0,0.0,none
ADM2,208,203,2.0,48.0,0.0,1-5
ADM5,51,51,,35.0,0.0,none
ADNP,1470,936,170.0,400.0,67.0,100+
ADNP-AS1,269,150,15.0,58.0,0.0,6-20
ADNP2,387,373,1.0,177.0,0.0,1-5
ADO,44,44,,27.0,0.0,none
ADORA1,81,69,,39.0,2.0,none
