year,geoid,sex,race_ethnicity,rate,unit,rate_type
2022,02188,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02195,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02198,Overall,White,107.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02220,Overall,White,93.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02230,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02240,Overall,White,80.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02261,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02275,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02282,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02290,Overall,White,85.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02013,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02016,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02020,Male,White,68.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02050,Male,White,67.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02060,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02068,Male,White,83.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02070,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02090,Male,White,79.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02100,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02105,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02110,Male,White,15.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02122,Male,White,60.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02130,Male,White,37.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02150,Male,White,42.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02158,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02164,Male,White,40.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02170,Male,White,75.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02180,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02185,Male,White,3.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02188,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02195,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02198,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02220,Male,White,122.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02230,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02240,Male,White,82.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02261,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02275,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02282,Male,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02290,Male,White,78.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02013,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02016,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02020,Female,White,66.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02050,Female,White,76.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02060,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02068,Female,White,83.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02070,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02090,Female,White,72.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02100,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02105,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02110,Female,White,57.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02122,Female,White,67.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02130,Female,White,36.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02150,Female,White,68.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02158,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02164,Female,White,65.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02170,Female,White,69.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02180,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02185,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02188,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02195,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02198,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02220,Female,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
