pubmed_id,first_author,pub_date,journal,study_title
37282553,Kember RL,2023-06-07,Am J Psychiatry,Genetic Underpinnings of the Transition From Alcohol Consumption to Alcohol Use Disorder: Shared and Unique Genetic Architectures in a Cross-Ancestry Sample.
41766532,Hirano Y,2026-03-02,Stroke,Integrative GWAS and snRNA-seq Reveal a Mesenchymal-Like Endothelial Signature in Moyamoya Disease.
37794016,Budu-Aggrey A,2023-10-04,Nat Commun,European and multi-ancestry genome-wide association meta-analysis of atopic dermatitis highlights importance of systemic immune regulation.
36233190,Kim YS,2022-10-06,Int J Mol Sci,Lifestage Sex-Specific Genetic Effects on Metabolic Disorders in an Adult Population in Korea: The Korean Genome and Epidemiology Study.
36914875,Shrine N,2023-03-13,Nat Genet,Multi-ancestry genome-wide association analyses improve resolution of genes and pathways influencing lung function and chronic obstructive pulmonary disease risk.
33887194,Hu Y,2021-04-21,Am J Hum Genet,Whole-genome sequencing association analysis of quantitative red blood cell phenotypes: The NHLBI TOPMed program.
32723749,Kwon YC,2020-07-28,Ann Rheum Dis,Genome-wide association study in a Korean population identifies six novel susceptibility loci for rheumatoid arthritis.
41824406,Lin YJ,2026-03-13,PLoS Genet,Unraveling the genetic links between stature and disease in East Asians: A multi-biobank genetic correlation and risk prediction study.
42203880,Gupta R,2026-05-27,Nature,Mechanism of age-related accumulation of mtDNA mutations in human blood.
34906840,Trinder M,2021-12-06,Atherosclerosis,Polygenic architecture and cardiovascular risk of familial combined hyperlipidemia.
37615194,Qu Y,2023-08-24,J Bone Miner Res,"Genetic correlation, shared loci and causal association between sex hormone-binding globulin and bone mineral density: insights from a large-scale genome-wide cross-trait analysis."
19525953,De Jager PL,2009-06-14,Nat Genet,"Meta-analysis of genome scans and replication identify CD6, IRF8 and TNFRSF1A as new multiple sclerosis susceptibility loci."
39349817,Park S,2024-09-30,Nat Genet,Multivariate genomic analysis of 5 million people elucidates the genetic architecture of shared components of the metabolic syndrome.
37867527,Roshandel D,2023-10-05,Front Endocrinol (Lausanne),Beyond apples and pears: sex-specific genetics of body fat percentage.
36193934,Tabassum R,2022-10-04,J Am Heart Assoc,Lipidome- and Genome-Wide Study to Understand Sex Differences in Circulatory Lipids.
36496446,Seviiri M,2022-12-10,Nat Commun,A multi-phenotype analysis reveals 19 susceptibility loci for basal cell carcinoma and 15 for squamous cell carcinoma.
28892062,Akiyama M,2017-09-11,Nat Genet,Genome-wide association study identifies 112 new loci for body mass index in the Japanese population.
33731350,Nandakumar P,2021-03-17,Sci Adv,Nuclear genome-wide associations with mitochondrial heteroplasmy.
29212778,van der Harst P,2017-12-06,Circ Res,Identification of 64 Novel Genetic Loci Provides an Expanded View on the Genetic Architecture of Coronary Artery Disease.
35051171,Wong HS,2022-01-20,PLoS Genet,Genome-wide association study identifies genetic risk loci for adiposity in a Taiwanese population.
30019117,Liu J,2018-07-17,Hum Genet,The coexistence of copy number variations (CNVs) and single nucleotide polymorphisms (SNPs) at a locus can result in distorted calculations of the significance in associating SNPs to disease.
32041948,Sarin KY,2020-02-10,Nat Commun,Genome-wide meta-analysis identifies eight new susceptibility loci for cutaneous squamous cell carcinoma.
41565855,He Y,2026-01-21,Nat Genet,Multi-trait and multi-ancestry genetic analysis of comorbid lung diseases and traits improves genetic discovery and polygenic risk prediction.
39361370,Diz-de Almeida S,2024-10-03,Elife,Novel risk loci for COVID-19 hospitalization among admixed American populations.
28869590,Zhao W,2017-09-04,Nat Genet,Identification of new susceptibility loci for type 2 diabetes and shared etiological pathways with coronary heart disease.
40316537,Pagadala MS,2025-05-02,Nat Commun,Discovery of novel ancestry specific genes for androgens and hypogonadism in Million Veteran Program Men.
20081858,Dupuis J,2010-01-17,Nat Genet,New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk.
25706626,Aung T,2015-02-23,Nat Genet,A common variant mapping to CACNA1A is associated with susceptibility to exfoliation syndrome.
38747976,Ishikawa T,2024-05-15,Eur Heart J,Brugada syndrome in Japan and Europe: a genome-wide association study reveals shared genetic architecture and new risk loci.
34107879,Hu Y,2021-06-09,BMC Genomics,Multi-ethnic genome-wide association analyses of white blood cell and platelet traits in the Population Architecture using Genomics and Epidemiology (PAGE) study.
34122051,Wang H,2021-05-28,Front Aging Neurosci,Similar Genetic Architecture of Alzheimer's Disease and Differential <i>APOE</i> Effect Between Sexes.
23364009,Yang X,2013-01-30,Am J Clin Nutr,Common variants at 12q24 are associated with drinking behavior in Han Chinese.
40359434,Munsch G,2025-05-13,Blood,A Multi-Omics Approach Reveals Novel Regulators of Plasma Factor V Levels: highlight on CLEC4M as a Clearance Receptor.
35121771,Choe EK,2022-02-04,Sci Rep,"Leveraging deep phenotyping from health check-up cohort with 10,000 Korean individuals for phenome-wide association study of 136 traits."
40021830,Reus LM,2025-02-28,Mol Psychiatry,Quantitative trait loci mapping of circulating metabolites in cerebrospinal fluid to uncover biological mechanisms involved in brain-related phenotypes.
20953190,Strange A,2010-10-17,Nat Genet,A genome-wide association study identifies new psoriasis susceptibility loci and an interaction between HLA-C and ERAP1.
39144724,Lelievre R,2024-07-31,Front Genet,Effect modification by sex of genetic associations of vitamin C related metabolites in the Canadian Longitudinal study on aging.
24952745,Arking DE,2014-06-22,Nat Genet,Genetic association study of QT interval highlights role for calcium signaling pathways in myocardial repolarization.
38538606,Harris BHL,2024-03-27,Sci Rep,New role of fat-free mass in cancer risk linked with genetic predisposition.
