entity,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Syria,SYR,2023-04-18,5090630.0,3295630.0,2358365.0,75881.0,14.9,10.66
Saint Vincent and the Grenadines,VCT,2023-04-21,73443.0,37532.0,31632.0,4279.0,36.1,30.43
Saudi Arabia,SAU,2023-04-25,68534631.0,27041364.0,25433941.0,,74.27,69.86
Kazakhstan,KAZ,2023-04-30,38355605.0,,,,,
French Polynesia,PYF,2023-05-01,502952.0,190908.0,186803.0,112237.0,62.33,60.99
Papua New Guinea,PNG,2023-05-01,737695.0,382020.0,321192.0,34483.0,3.77,3.17
Fiji,FJI,2023-05-01,1555182.0,712025.0,641194.0,172046.0,76.58,68.96
Israel,ISR,2023-05-04,18649248.0,6723119.0,6159825.0,5766304.0,71.15,65.19
Qatar,QAT,2023-05-07,7609178.0,2852178.0,2852178.0,1904822.0,105.83,105.83
Japan,JPN,2023-05-07,383747738.0,104705133.0,103380343.0,175662262.0,84.47,83.4
North Macedonia,MKD,2023-05-07,1862987.0,854570.0,838181.0,161633.0,40.82,40.04
New Caledonia,NCL,2023-05-09,480702.0,192375.0,184816.0,103511.0,66.35,63.74
United States,USA,2023-05-09,676728782.0,270227181.0,230637348.0,,81.39,69.47
Panama,PAN,2023-05-12,8893001.0,3533477.0,3174155.0,2033783.0,80.15,72.0
Guatemala,GTM,2023-05-12,20362104.0,8933623.0,7126305.0,4302176.0,50.07,39.94
Bahamas,BHS,2023-05-12,366359.0,174810.0,166972.0,36965.0,42.64,40.73
Belize,BLZ,2023-05-12,,,221402.0,53198.0,,54.63
Curacao,CUW,2023-05-12,260324.0,,100885.0,49213.0,,52.77
Paraguay,PRY,2023-05-12,9745545.0,3993938.0,3546685.0,2204922.0,58.9,52.31
Morocco,MAR,2023-05-14,55389602.0,25020168.0,23521989.0,6925973.0,66.8,62.8
Mali,MLI,2023-05-14,5922585.0,4354292.0,3633589.0,,19.27,16.08
Egypt,EGY,2023-05-21,112673535.0,56907319.0,42337175.0,15217352.0,51.27,38.15
Spain,ESP,2023-05-24,105840320.0,41351234.0,40739123.0,26559282.0,86.95,85.66
Maldives,MDV,2023-05-25,951764.0,399308.0,385167.0,167289.0,76.23,73.53
South Korea,KOR,2023-05-26,,44784499.0,44372679.0,,86.43,85.64
Ethiopia,ETH,2023-05-28,68856793.0,52489512.0,43653006.0,5978070.0,42.54,35.38
Uganda,UGA,2023-05-28,26406936.0,20033189.0,13061126.0,764664.0,42.4,27.64
Eswatini,SWZ,2023-06-04,870205.0,526050.0,427335.0,179450.0,43.78,35.56
Democratic Republic of Congo,COD,2023-06-04,18808671.0,17045721.0,14399520.0,,17.22,14.54
Rwanda,RWA,2023-06-04,27322059.0,10884714.0,10399665.0,5879013.0,79.01,75.49
Liechtenstein,LIE,2023-06-07,74337.0,26771.0,,22087.0,68.02,
Luxembourg,LUX,2023-06-11,,,462702.0,,,71.45
Tunisia,TUN,2023-06-20,13253317.0,7218871.0,6401841.0,1258577.0,58.42,51.81
Zambia,ZMB,2023-06-25,,11711565.0,,,58.51,
Wales,OWID_WLS,2023-06-30,8932482.0,,,,,
Austria,AUT,2023-06-30,20468731.0,6899873.0,6683263.0,5405966.0,77.18,74.76
Brunei,BRN,2023-06-30,1293100.0,451149.0,446714.0,340466.0,100.48,99.49
Vietnam,VNM,2023-06-30,266492149.0,90497674.0,85961564.0,57975220.0,92.17,87.55
Ghana,GHA,2023-07-02,25624828.0,13864186.0,10780003.0,4806017.0,41.42,32.2
Mozambique,MOZ,2023-07-02,34950858.0,22869646.0,21329745.0,2323562.0,69.37,64.7
Switzerland,CHE,2023-07-03,16940716.0,6096911.0,,4885838.0,69.75,
France,FRA,2023-07-10,154493266.0,54677678.0,53192478.0,47705542.0,80.63,78.44
England,OWID_ENG,2023-07-10,,45417090.0,42951064.0,,80.31,75.95
