mec_id,molecule_chembl_id,target_chembl_id,action_type,mechanism_of_action,max_phase,direct_interaction,disease_efficacy,molecular_mechanism
4267,CHEMBL3545307,CHEMBL3717,INHIBITOR,Hepatocyte growth factor receptor inhibitor,2,True,True,True
4268,CHEMBL3828009,CHEMBL2095217,INHIBITOR,Fibroblast growth factor receptor inhibitor,1,True,True,True
4269,CHEMBL3544998,CHEMBL260,INHIBITOR,MAP kinase p38 alpha inhibitor,1,True,True,True
4270,CHEMBL3577124,CHEMBL5145,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,1,True,True,True
4271,CHEMBL3577124,CHEMBL1906,INHIBITOR,Serine/threonine-protein kinase RAF inhibitor,1,True,True,True
4272,CHEMBL3577124,CHEMBL1169596,INHIBITOR,Serine/threonine-protein kinase A-Raf inhibitor,1,True,True,True
4273,CHEMBL5314386,CHEMBL2363065,INHIBITOR,Mitochondrial complex I (NADH dehydrogenase) inhibitor,1,True,True,True
4274,CHEMBL5314387,CHEMBL3024,INHIBITOR,Serine/threonine-protein kinase PLK1 inhibitor,1,True,True,True
4275,CHEMBL3545000,CHEMBL2111353,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor,1,True,True,True
4276,CHEMBL3600873,CHEMBL4722,INHIBITOR,Serine/threonine-protein kinase Aurora-A inhibitor,1,True,True,True
4277,CHEMBL3545378,CHEMBL3430911,INHIBITOR,Serine/threonine-protein kinase Aurora inhibitor,1,True,True,True
4278,CHEMBL2323775,CHEMBL3717,INHIBITOR,Hepatocyte growth factor receptor inhibitor,1,True,True,True
4279,CHEMBL2323775,CHEMBL2689,INHIBITOR,Macrophage-stimulating protein receptor inhibitor,1,True,True,True
4280,CHEMBL4213970,CHEMBL3385,INHIBITOR,MAP kinase ERK1 inhibitor,1,True,True,True
4281,CHEMBL4213970,CHEMBL4040,INHIBITOR,MAP kinase ERK2 inhibitor,1,True,True,True
4282,CHEMBL2104954,CHEMBL3587,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,2,True,True,True
4283,CHEMBL2104954,CHEMBL2964,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,2,True,True,True
4284,CHEMBL5314383,CHEMBL1991,INHIBITOR,Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor,1,True,True,True
4285,CHEMBL3935857,CHEMBL4005,INHIBITOR,PI3-kinase p110-alpha subunit inhibitor,2,True,True,True
